step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
0,3419.0,866.48,14.36,0.0,0.0,0,302.72,2746.0,
1,3500.0,851.48,38.36,0.0,0.0,0,314.72,3080.0,
2,3725.0,860.48,67.36,0.0,0.0,5.58,285.72,3129.0,
3,3413.0,861.48,27.36,0.0,0.0,0,305.72,3067.0,
4,3495.0,855.48,23.36,0.0,0.0,0.5800000000000001,305.72,3070.0,
5,3427.0,872.48,27.36,0.0,0.0,0,315.72,3414.0,
6,3406.0,820.48,0,0.0,0.0,0,301.72,3011.0,
7,3362.0,738.48,20.36,0.0,0.0,0,272.72,2746.0,
8,3111.0,661.48,22.36,0.0,0.0,6.58,253.72,2161.0,
9,2972.0,635.48,0,0.0,0.0,0,242.72,1931.0,
10,3133.0,577.48,0,0.0,0.0,0,248.72,1105.0,
11,2552.0,540.48,16.36,0.0,0.0,0,242.72,856.0,
12,3234.0,501.48,9.36,0.0,0.0,0,220.72,1535.0,
13,2174.0,482.48,0,3.0,0.0,0,192.72,1378.0,
14,2336.0,426.48,22.36,0.0,0.0,0,191.72,1273.0,
15,1616.0,407.48,14.36,2.0,0.0,0,185.72,1088.0,
16,1463.0,402.48,19.36,0.0,0.0,28.58,187.72,988.0,
17,1385.0,361.48,8.36,13.0,0.0,0,184.72,913.0,
18,1215.0,334.48,16.36,0.0,0.0,0,161.72,866.0,
19,1214.0,320.48,10.36,0.0,0.0,0,159.72,798.0,
20,892.0,283.48,14.36,0.0,0.0,12.58,144.72,848.0,
21,986.0,289.48,0,8.0,0.0,0,136.72,694.0,
22,885.0,272.48,7.36,0.0,0.0,0,108.72,635.0,
23,820.0,273.48,3.3600000000000003,0.0,0.0,6.58,119.72,218.0,
24,840.0,246.48,3.3600000000000003,4.0,0.0,77.58,125.72,663.0,
25,721.0,235.48,3.3600000000000003,0.0,0.0,0,121.72,1287.0,
26,692.0,196.48,15.36,0.0,0.0,0,135.72,1763.0,
27,642.0,216.48,9.36,0.0,0.0,0,114.72,483.0,
28,0.0,208.48,13.36,6.0,0.0,0,108.72,531.0,
29,636.0,198.48,0,0.0,0.0,0,73.72,504.0,
30,779.0,189.48,17.36,0.0,1.0,0,104.72,400.0,
