step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
0,3544.94,677.2,2.3,0,0,10.4,476.14,3444.22,
1,3536.94,676.2,11.3,0,0.92,13.4,475.14,3436.22,
2,3717.94,682.2,15.3,0,0,0,483.14,3500.22,
3,3537.94,687.2,0,0,1.92,15.4,479.14,3498.22,
4,3541.94,682.2,7.3,0,0,0,464.14,3421.22,
5,3544.94,674.2,11.3,0,0,10.4,466.14,3488.22,
6,3526.94,691.2,0,0,7.92,51.4,429.14,3575.22,
7,3580.94,717.2,0,0,0,21.4,430.14,3392.22,
8,3530.94,668.2,7.3,0,0,2.4,428.14,3406.22,
9,3399.94,607.2,8.3,0,0,30.4,423.14,3444.22,
10,3370.94,578.2,19.3,0,0,22.4,386.14,3039.22,
11,3622.94,543.2,0,0,0,0,348.14,2821.22,
12,2891.94,495.2,7.3,0,0,0,327.14,2468.22,
13,2666.94,460.2,11.3,0,0,1.4,322.14,2263.22,
14,1778.94,445.2,0,0,0,0,303.14,2217.22,
15,2224.94,418.2,0,0,0,3.4,288.14,1897.22,
16,2029.94,385.2,3.3,0,0,19.4,246.14,1682.22,
17,1713.94,375.2,2.3,0,0,7.4,231.14,533.22,
18,1548.94,341.2,0,0,0,0,242.14,1357.22,
19,1809.94,321.2,0,0,0,0,231.14,1570.22,
20,1284.94,306.2,2.3,0,0,10.4,212.14,1007.22,
21,1183.94,295.2,0,0,0,0,190.14,0,
22,2283.94,275.2,0,0,13.92,12.4,189.14,981.22,
23,1594.94,283.2,4.3,0,0,13.4,192.14,974.22,
24,977.94,249.2,9.3,0,0,18.4,184.14,2126.22,
25,908.94,241.2,2.3,0,0,4.4,179.14,859.22,
26,7.9399999999999995,230.2,45.3,0,0,0,166.14,700.22,
27,736.94,219.2,6.3,0,0,0,154.14,0,
28,756.94,193.2,7.3,0,1.92,13.4,145.14,625.22,
29,1626.94,204.2,1.3,0,0,5.4,130.14,568.22,
30,621.94,196.2,0.30000000000000004,0,0,0,136.14,589.22,
31,630.94,189.2,13.3,0,0,0,135.14,615.22,
32,0,201.2,7.3,0,0,0,143.14,1446.22,
33,522.94,176.2,0,0,0,0,121.14,460.22,
34,536.94,169.2,7.3,0,0,10.4,118.14,827.22,
35,481.94,146.2,5.3,0,0,0,110.14,497.22,
36,505.94,154.2,0,0,0,0,116.14,481.22,
37,847.94,151.2,3.3,0,0,19.4,98.14,0,
38,395.94,147.2,1.3,0,0,0,108.14,0,
39,1339.94,143.2,1.3,0,0,15.4,96.14,342.22,
40,555.94,135.2,0,0,0,8.4,89.14,395.22,
41,796.94,132.2,0,0,0,8.4,88.14,374.22,
42,323.94,126.2,0,0,0,14.4,87.14,470.22,
43,297.94,138.2,0,0,0,3.4,84.14,283.22,
44,313.94,127.2,5.3,0,3.92,1.4,102.14,252.22,
45,283.94,118.2,5.3,0,0,0,81.14,252.22,
46,278.94,112.2,4.3,0,0,10.4,90.14,245.22,
47,122.94,94.2,0,0,0,0,63.14,281.22,
48,250.94,107.2,0.30000000000000004,0,0,10.4,82.14,223.22,
49,278.94,109.2,2.3,0,0,11.4,43.14,280.22,
50,233.94,121.2,0,0,0,0,61.14,29.22,
51,273.94,101.2,0,0,0,9.4,63.14,262.22,
52,257.94,97.2,0,0,0,19.4,54.14,577.22,
53,209.94,74.2,6.3,0,0,4.4,86.14,816.22,
54,204.94,94.2,2.3,0,0,15.4,61.14,191.22,
55,0,97.2,0,0,0,4.4,71.14,218.22,
56,188.94,87.2,0,0,0,0,18.14,211.22,
57,345.94,86.2,4.3,0,0,5.4,55.14,197.22,
58,553.94,91.2,0,0,0,1.4,56.14,198.22,
59,213.94,83.2,3.3,0,0,28.4,56.14,474.22,
60,191.94,113.2,0,0,0,15.4,51.14,159.22,
61,204.94,88.2,0,0,0,0,72.14,139.22,
62,158.94,77.2,1.3,0,0,0,55.14,143.22,
63,144.94,80.2,3.3,0,0,7.4,55.14,134.22,
64,54.94,52.2,0,0,0,0,21.14,164.22,
65,146.94,70.2,1.3,0,0,0,46.14,127.22,
66,145.94,72.2,2.3,0,0,5.4,58.14,127.22,
67,153.94,70.2,1.3,0,0,0,45.14,142.22,
68,135.94,55.2,0,0,0,8.4,12.14,144.22,
69,130.94,66.2,4.3,0,4.92,2.4,41.14,115.22,
70,432.94,65.2,0,0,0,2.4,21.14,0,
71,126.94,63.2,5.3,0,0,18.4,73.14,40.22,
72,292.94,63.2,0,0,0,16.4,40.14,143.22,
73,119.94,67.2,2.3,0,0,7.4,25.14,98.22,
74,115.94,63.2,0,0,0,7.4,0,507.22,
75,0,60.2,0.30000000000000004,0,0,5.4,36.14,100.22,
76,0,32.2,3.3,0,0,13.4,36.14,115.22,
77,122.94,57.2,0,0,0,10.4,32.14,0,
78,125.94,66.2,4.3,0,0,14.4,44.14,88.22,
79,417.94,78.2,0,0,0,20.4,36.14,80.22,
80,121.94,58.2,0,0,0,10.4,36.14,113.22,
81,94.94,58.2,0,0,0,21.4,77.14,81.22,
82,0,55.2,0,0,0,24.4,37.14,228.22,
83,104.94,51.2,0.30000000000000004,0,0,5.4,33.14,80.22,
84,104.94,56.2,0,0,0,20.4,12.14,81.22,
85,96.94,48.2,0,0,0,0,0,0,
86,89.94,10.2,0,0,0,13.4,34.14,168.22,
87,85.94,53.2,0,0,0,16.4,26.14,69.22,
88,66.94,47.2,0,0,0,0,20.14,63.22,
89,86.94,45.2,0,0,0,7.4,6.14,0,
90,365.94,47.2,0,0,0,15.4,24.14,65.22,
91,257.94,78.2,1.3,0,0,12.4,27.14,56.22,
92,77.94,49.2,0,0,0,7.4,27.14,344.22,
93,86.94,51.2,0,0,0,21.4,14.14,60.22,
94,0,47.2,0,0,0,6.4,25.14,70.22,
95,67.94,46.2,0,0,0,4.4,24.14,0,
96,65.94,13.2,0,0,0,8.4,23.14,69.22,
97,269.94,38.2,0.30000000000000004,0,0,2.4,0,67.22,
98,84.94,37.2,0,0,0,13.4,24.14,70.22,
99,67.94,40.2,2.3,0,0,18.4,30.14,68.22,
100,0,73.2,6.3,0,0,21.4,59.14,221.22,
101,62.94,39.2,0,0,0,3.4,18.14,50.22,
102,57.94,40.2,0,0,0,12.4,21.14,219.22,
103,73.94,0,0,0,0,12.4,24.14,71.22,
104,74.94,36.2,0,0,0,0,27.14,50.22,
105,81.94,36.2,0,0,0,16.4,18.14,0,
106,57.94,41.2,0,0,0,0,20.14,0,
107,64.94,34.2,0,0,0,0,0,60.22,
108,78.94,36.2,0,0,0,22.4,16.14,58.22,
109,117.94,34.2,0,0,0,18.4,18.14,47.22,
110,52.94,37.2,0,0,0,0,18.14,0,
111,51.94,76.2,2.3,0,0,5.4,21.14,38.22,
112,80.94,48.2,0,0,0,9.4,56.14,30.22,
113,47.94,34.2,0,0,0,0,19.14,37.22,
114,56.94,31.2,0,0,0,0,21.14,36.22,
115,0,9.2,0,0,0,1.4,19.14,44.22,
116,44.94,30.2,0.30000000000000004,0,0,2.4,15.14,32.22,
117,44.94,31.2,0,0,0,27.4,0,29.22,
118,46.94,65.2,4.3,0,0,6.4,1.1400000000000001,0,
119,48.94,36.2,0.30000000000000004,0,0,12.4,13.14,37.22,
120,54.94,25.2,0,0,0,14.4,13.14,112.22,
121,42.94,0,0,0,0,0,57.14,188.22,
122,43.94,39.2,0,0,0,6.4,13.14,31.22,
123,0,32.2,0,0,0,17.4,3.14,21.22,
124,42.94,29.2,0,0,0,0.3999999999999999,0,21.22,
125,77.94,33.2,0,0,0,16.4,14.14,23.22,
126,158.94,48.2,0,0,0,4.4,23.14,30.22,
127,0,0.19999999999999996,0,0,0,10.4,8.14,28.22,
128,40.94,32.2,3.3,0,0,14.4,15.14,0,
129,35.94,33.2,0,0,0,1.4,14.14,26.22,
130,170.94,38.2,0,0,0,11.4,4.14,19.22,
131,43.94,31.2,0,0,0,5.4,10.14,33.22,
132,30.94,27.2,0,0,0,9.4,57.14,20.22,
133,0,34.2,0,0,0,10.4,41.14,164.22,
134,33.94,29.2,0,0,0,2.4,27.14,16.22,
135,37.94,27.2,0,0,0,22.4,14.14,34.22,
136,32.94,6.2,0,0,0,0,0,22.22,
137,33.94,30.2,0,0,0,0,9.14,24.22,
138,134.94,31.2,0,0,0,12.4,19.14,0,
139,32.94,27.2,0,0,0,20.4,42.14,0,
140,98.94,28.2,0,0,0,1.4,9.14,21.22,
141,45.94,32.2,0,0,0,16.4,13.14,22.22,
142,29.94,27.2,32.3,0,0,19.4,0,156.22,
143,0,28.2,0,0,0,2.4,6.14,14.22,
144,0,0,1.3,0,0,8.4,6.14,16.22,
145,29.94,26.2,0,0,0,18.4,13.14,0,
146,26.94,31.2,0,0,0,13.4,10.14,13.22,
147,24.94,25.2,0,0,0,4.4,10.14,13.22,
148,0,0,4.3,0,0,0,0,8.22,
149,23.94,26.2,0,0,0,7.4,11.14,11.22,
150,26.94,28.2,0,0,0,3.4,0,9.22,
151,28.94,56.2,3.3,0,0,8.4,9.14,0,
152,26.94,26.2,0,0,0,13.4,23.14,10.22,
153,29.94,26.2,0,0,0,6.4,8.14,108.22,
154,31.94,0,0,0,0,17.4,36.14,121.22,
155,24.94,28.2,0,0,0,5.4,0,9.22,
156,0,27.2,0,0,0,0,0,13.22,
157,30.94,28.2,0,0,0,0,0,9.22,
158,43.94,24.2,1.3,0,0,21.4,9.14,7.22,
159,96.94,27.2,0,0,0,1.4,0,9.22,
160,29.94,23.2,0,0,5.92,3.4,9.14,44.22,
161,26.94,55.2,0,0,0,3.4,9.14,8.22,
162,34.94,30.2,0,0,0,9.4,45.14,5.22,
163,25.94,21.2,0,0,0,13.4,0.14,15.22,
164,19.94,24.2,2.3,0,0,13.4,12.14,5.22,
165,0,4.2,0,0,0,15.4,0,11.22,
166,19.94,24.2,0,0,0,15.4,8.14,5.22,
167,15.94,21.2,1.3,0,0,0,4.14,1.22,
168,15.94,20.2,0,0,0,10.4,3.14,50.22,
169,13.94,0,0,0,0,0,11.14,12.22,
170,14.94,24.2,0,0,0,0,23.14,0,
171,24.94,24.2,0,0,0,3.4,11.14,0,
172,17.94,23.2,0,0,0,19.4,16.14,0,
173,123.94,25.2,0,0,0,10.4,4.14,8.22,
174,44.94,44.2,1.3,0,0,4.4,7.14,4.22,
175,16.94,23.2,0.30000000000000004,0,0,3.4,12.14,95.22,
176,15.94,23.2,1.3,0,0,9.4,4.14,7.22,
177,0,7.2,0,0,0,12.4,8.14,1.22,
178,19.94,24.2,0,0,0,20.4,6.14,0,
179,19.94,0,34.3,0,0,0,7.14,0.21999999999999997,
180,90.94,14.2,1.3,0,0,13.4,0,0,
181,14.94,24.2,0,0,0,4.4,5.14,2.2199999999999998,
182,13.94,20.2,0,0,0,15.4,12.14,0,
183,0,43.2,0,0,0,26.4,26.14,18.22,
184,13.94,20.2,0,0,0,11.4,0.14,3.2199999999999998,
185,13.94,19.2,5.3,0,0,14.4,2.14,105.22,
186,84.94,21.2,0,0,0,18.4,5.14,0,
187,18.94,22.2,2.3,0,0,8.4,34.14,0,
188,23.94,23.2,1.3,0,0,0,3.14,0,
189,13.94,24.2,0,0,0,12.4,9.14,0,
190,13.94,21.2,0,0,0,8.4,0,73.22,
191,0,23.2,0,0,0,12.4,5.14,0,
192,0,0,0,0,0,12.4,0,0,
193,16.94,21.2,0,0,0,22.4,7.14,0,
