step,x_center,y_center,width,height,area,label,time
87,29.5,54.0,59,54,2508.5,Blue,0.032901763916015625
87,79.0,48.5,28,29,525.0,Green,0.032901763916015625
87,145.0,18.0,24,10,106.0,Green,0.032901763916015625
87,57.5,16.0,25,32,147.0,Red,0.032901763916015625
87,114.5,28.0,29,8,140.0,Black,0.032901763916015625
87,92.0,6.0,14,12,124.0,Black,0.032901763916015625
88,29.5,54.0,59,54,2508.5,Blue,0.03338289260864258
88,79.0,48.5,28,29,525.0,Green,0.03338289260864258
88,145.0,18.0,24,10,106.0,Green,0.03338289260864258
88,57.5,16.0,25,32,147.0,Red,0.03338289260864258
88,114.5,28.0,29,8,140.0,Black,0.03338289260864258
88,92.0,6.0,14,12,124.0,Black,0.03338289260864258
89,82.5,53.0,21,42,470.5,Blue,0.03302145004272461
89,33.5,53.5,67,57,2856.5,Blue,0.03302145004272461
89,116.5,49.0,27,30,625.5,Green,0.03302145004272461
89,81.5,14.5,25,29,151.0,Red,0.03302145004272461
89,144.5,27.5,31,11,279.0,Black,0.03302145004272461
89,109.5,16.5,35,33,602.0,Black,0.03302145004272461
90,82.5,53.0,21,42,470.5,Blue,0.03361845016479492
90,33.5,53.5,67,57,2856.5,Blue,0.03361845016479492
90,116.5,49.0,27,30,625.5,Green,0.03361845016479492
90,81.5,14.5,25,29,151.0,Red,0.03361845016479492
90,144.5,27.5,31,11,279.0,Black,0.03361845016479492
90,109.5,16.5,35,33,602.0,Black,0.03361845016479492
91,116.5,52.0,25,42,820.5,Blue,0.032900333404541016
91,53.5,52.5,41,51,1469.0,Blue,0.032900333404541016
91,147.0,49.0,26,32,645.0,Green,0.032900333404541016
91,109.0,14.5,26,29,193.0,Red,0.032900333404541016
91,139.5,16.0,41,32,699.5,Black,0.032900333404541016
92,116.5,52.0,25,42,820.5,Blue,0.03347301483154297
92,53.5,52.5,41,51,1469.0,Blue,0.03347301483154297
92,147.0,49.0,26,32,645.0,Green,0.03347301483154297
92,109.0,14.5,26,29,193.0,Red,0.03347301483154297
92,139.5,16.0,41,32,699.5,Black,0.03347301483154297
93,79.5,52.5,13,39,153.0,Blue,0.03335380554199219
93,122.0,52.5,76,47,2405.0,Blue,0.03335380554199219
93,7.5,51.5,15,55,512.0,Red,0.03335380554199219
93,143.0,13.5,28,27,464.5,Red,0.03335380554199219
