step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0175,9999999999,0,-3.4830000000000005,-2.2291200002229125e-11,-0.0,-3.4330000000222918,3.4330000000222918,-3.4330000000222918
1,0.0175,9999999999,0,-3.4849000000000006,-4.459456000445947e-11,-0.0,-3.4349000000445953,3.4349000000445953,-3.4349000000445953
2,0.0175,9999999999,0,-3.4799000000000007,-6.686592000668661e-11,0.0,-3.429900000066867,3.429900000066867,-3.429900000066867
3,0.0175,9999999999,0,-3.4475000000000002,-8.892992000889301e-11,0.0,-3.39750000008893,3.39750000008893,-3.39750000008893
4,0.0175,9999999999,0,-3.4899000000000004,-1.1126528001112655e-10,-0.0,-3.439900000111266,3.439900000111266,-3.439900000111266
5,0.0175,9999999999,0,-3.5000000000000004,-1.3366528001336655e-10,-0.0,-3.4500000001336657,3.4500000001336657,-3.4500000001336657
6,0.0175,9999999999,0,-3.5000000000000004,-1.5606528001560652e-10,0.0,-3.450000000156066,3.450000000156066,-3.450000000156066
7,0.0175,9999999999,0,-3.5000000000000004,-1.7846528001784655e-10,0.0,-3.450000000178466,3.450000000178466,-3.450000000178466
8,0.0175,9999999999,0,-3.423,-2.0037248002003727e-10,0.0,-3.373000000200373,3.373000000200373,-3.373000000200373
9,0.0175,9999999999,0,-3.4130000000000007,-2.2221568002222158e-10,0.0,-3.3630000002222165,3.3630000002222165,-3.3630000002222165
10,0.0175,9999999999,0,-3.4530000000000003,-2.443148800244315e-10,-0.0,-3.4030000002443153,3.4030000002443153,-3.4030000002443153
11,0.0175,9999999999,0,-3.333,-2.6564608002656456e-10,0.0,-3.2830000002656465,3.2830000002656465,-3.2830000002656465
12,0.0175,9999999999,0,-3.3230000000000004,-2.8691328002869136e-10,0.0,-3.2730000002869137,3.2730000002869137,-3.2730000002869137
13,0.0175,9999999999,0,-3.313,-3.0811648003081165e-10,0.0,-3.263000000308117,3.263000000308117,-3.263000000308117
14,0.0175,9999999999,0,-3.2930000000000006,-3.2919168003291917e-10,0.0,-3.2430000003291926,3.2430000003291926,-3.2430000003291926
15,0.0175,9999999999,0,-3.0330000000000004,-3.4860288003486026e-10,0.0,-2.9830000003486035,2.9830000003486035,-2.9830000003486035
16,0.0175,9999999999,0,-3.2630000000000003,-3.694860800369486e-10,-0.0,-3.2130000003694867,3.2130000003694867,-3.2130000003694867
17,0.0175,9999999999,0,-3.2030000000000003,-3.899852800389985e-10,0.0,-3.153000000389986,3.153000000389986,-3.153000000389986
18,0.0175,9999999999,0,-3.2930000000000006,-4.1106048004110606e-10,-0.0,-3.2430000004110613,3.2430000004110613,-3.2430000004110613
19,0.0175,9999999999,0,-3.2930000000000006,-4.321356800432136e-10,0.0,-3.2430000004321364,3.2430000004321364,-3.2430000004321364
20,0.0175,9999999999,0,-3.5000000000000004,-4.545356800454536e-10,-0.0,-3.450000000454536,3.450000000454536,-3.450000000454536
21,0.0175,9999999999,0,-3.5000000000000004,-4.769356800476936e-10,0.0,-3.4500000004769364,3.4500000004769364,-3.4500000004769364
22,0.0175,9999999999,0,-3.2930000000000006,-4.980108800498011e-10,0.0,-3.2430000004980117,3.2430000004980117,-3.2430000004980117
23,0.0175,9999999999,0,-3.2930000000000006,-5.190860800519087e-10,0.0,-3.243000000519087,3.243000000519087,-3.243000000519087
24,0.0175,9999999999,0,-1.8830000000000002,-5.311372800531138e-10,0.0,-1.8330000005311375,1.8330000005311375,-1.8330000005311375
25,0.0175,9999999999,0,-3.233,-5.518284800551829e-10,-0.0,-3.1830000005518286,3.1830000005518286,-3.1830000005518286
26,0.0175,9999999999,0,-3.3630000000000004,-5.733516800573351e-10,-0.0,-3.313000000573352,3.313000000573352,-3.313000000573352
27,0.0175,9999999999,0,-3.5000000000000004,-5.957516800595752e-10,-0.0,-3.4500000005957525,3.4500000005957525,-3.4500000005957525
28,0.0175,9999999999,0,-3.5000000000000004,-6.181516800618151e-10,0.0,-3.4500000006181524,3.4500000006181524,-3.4500000006181524
29,0.0175,9999999999,0,-3.5000000000000004,-6.405516800640553e-10,0.0,-3.4500000006405522,3.4500000006405522,-3.4500000006405522
30,0.0175,9999999999,0,-3.5000000000000004,-6.629516800662953e-10,0.0,-3.450000000662952,3.450000000662952,-3.450000000662952
