step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0125,9999999999,0,-2.0404285714285715,-1.305874285844873e-11,-0.0,-1.9904285714416303,1.9904285714416303,-1.9904285714416303
1,0.0125,9999999999,0,-1.949357142857143,-2.5534628573982033e-11,0.0,-1.8993571428826777,1.8993571428826777,-1.8993571428826777
2,0.0125,9999999999,0,-1.8707857142857145,-3.750765714660791e-11,0.0,-1.820785714323222,1.820785714323222,-1.820785714323222
3,0.0125,9999999999,0,-1.8136428571428571,-4.911497143348292e-11,0.0,-1.763642857191972,1.763642857191972,-1.763642857191972
4,0.0125,9999999999,0,-1.929714285714286,-6.146514286328937e-11,-0.0,-1.879714285775751,1.879714285775751,-1.879714285775751
5,0.0125,9999999999,0,-1.7707857142857144,-7.279817143585124e-11,0.0,-1.7207857143585126,1.7207857143585126,-1.7207857143585126
6,0.0125,9999999999,0,-1.7979285714285718,-8.43049142941448e-11,-0.0,-1.7479285715128767,1.7479285715128767,-1.7479285715128767
7,0.0125,9999999999,0,-1.7600714285714287,-9.556937143812838e-11,0.0,-1.710071428666998,1.710071428666998,-1.710071428666998
8,0.0125,9999999999,0,-1.8136428571428571,-1.0717668572500339e-10,-0.0,-1.7636428572500338,1.7636428572500338,-1.7636428572500338
9,0.0125,9999999999,0,-1.7154285714285713,-1.1815542858324413e-10,0.0,-1.6654285715467267,1.6654285715467267,-1.6654285715467267
10,0.0125,9999999999,0,-1.692214285714286,-1.2898560001289857e-10,0.0,-1.6422142858432716,1.6422142858432716,-1.6422142858432716
11,0.0125,9999999999,0,-1.6404285714285713,-1.394843428710913e-10,0.0,-1.5904285715680557,1.5904285715680557,-1.5904285715680557
12,0.0125,9999999999,0,-1.5457857142857143,-1.4937737144350916e-10,0.0,-1.4957857144350917,3.4957857144350917,0.5042142855649083
13,0.0125,9999999999,0,-1.494,-1.5893897144446532e-10,0.0,-1.4440000001589388,3.4440000001589386,0.5559999998410612
14,0.0125,9999999999,0,-1.379714285714286,-1.6776914287391974e-10,0.0,-1.329714285882055,3.329714285882055,0.670285714117945
15,0.0125,9999999999,0,-1.2690000000000001,-1.758907428747319e-10,0.0,-1.2190000001758907,3.2190000001758907,0.7809999998241093
16,0.0125,9999999999,0,-1.169,-1.8337234287548005e-10,0.0,-1.1190000001833724,3.119000000183372,0.8809999998166276
