step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.009375,9999999999,0,-1.875,-1.20000000012e-11,-0.0,-1.825000000012,1.825000000012,-1.825000000012
1,0.009375,9999999999,0,-1.875,-2.40000000024e-11,0.0,-1.8250000000239999,1.8250000000239999,-1.8250000000239999
2,0.009375,9999999999,0,-1.875,-3.6000000003600005e-11,0.0,-1.825000000036,1.825000000036,-1.825000000036
3,0.009375,9999999999,0,-1.875,-4.80000000048e-11,0.0,-1.825000000048,1.825000000048,-1.825000000048
4,0.009375,9999999999,0,-1.875,-6.000000000599999e-11,0.0,-1.82500000006,1.82500000006,-1.82500000006
5,0.009375,9999999999,0,-1.875,-7.200000000719998e-11,0.0,-1.825000000072,1.825000000072,-1.825000000072
6,0.009375,9999999999,0,-1.875,-8.400000000839999e-11,0.0,-1.8250000000839999,1.8250000000839999,-1.8250000000839999
7,0.009375,9999999999,0,-1.8644999999999998,-9.593280000959328e-11,0.0,-1.8145000000959326,1.8145000000959326,-1.8145000000959326
8,0.009375,9999999999,0,-1.875,-1.0793280001079326e-10,-0.0,-1.8250000001079327,1.8250000001079327,-1.8250000001079327
9,0.009375,9999999999,0,-1.869160714285714,-1.198954285834181e-10,0.0,-1.8191607144056094,1.8191607144056094,-1.8191607144056094
10,0.009375,9999999999,0,-1.875,-1.3189542858461812e-10,-0.0,-1.8250000001318953,1.8250000001318953,-1.8250000001318953
11,0.009375,9999999999,0,-1.8537857142857141,-1.4375965715723313e-10,0.0,-1.8037857144294738,1.8037857144294738,-1.8037857144294738
12,0.009375,9999999999,0,-1.875,-1.5575965715843312e-10,-0.0,-1.8250000001557596,1.8250000001557596,-1.8250000001557596
13,0.009375,9999999999,0,-1.875,-1.6775965715963314e-10,0.0,-1.8250000001677595,1.8250000001677595,-1.8250000001677595
14,0.009375,9999999999,0,-1.875,-1.7975965716083313e-10,0.0,-1.8250000001797597,1.8250000001797597,-1.8250000001797597
15,0.009375,9999999999,0,-1.875,-1.9175965716203317e-10,0.0,-1.8250000001917597,1.8250000001917597,-1.8250000001917597
16,0.009375,9999999999,0,-1.875,-2.0375965716323316e-10,0.0,-1.8250000002037596,1.8250000002037596,-1.8250000002037596
17,0.009375,9999999999,0,-1.875,-2.1575965716443316e-10,0.0,-1.8250000002157596,1.8250000002157596,-1.8250000002157596
18,0.009375,9999999999,0,-1.875,-2.277596571656332e-10,0.0,-1.8250000002277595,1.8250000002277595,-1.8250000002277595
19,0.009375,9999999999,0,-1.875,-2.397596571668332e-10,0.0,-1.8250000002397597,1.8250000002397597,-1.8250000002397597
20,0.009375,9999999999,0,-1.875,-2.517596571680332e-10,0.0,-1.8250000002517597,1.8250000002517597,-1.8250000002517597
21,0.009375,9999999999,0,-1.875,-2.637596571692332e-10,0.0,-1.8250000002637596,1.8250000002637596,-1.8250000002637596
22,0.009375,9999999999,0,-1.875,-2.757596571704332e-10,0.0,-1.8250000002757596,1.8250000002757596,-1.8250000002757596
23,0.009375,9999999999,0,-1.875,-2.8775965717163326e-10,0.0,-1.8250000002877595,1.8250000002877595,-1.8250000002877595
24,0.009375,9999999999,0,-1.875,-2.9975965717283325e-10,0.0,-1.8250000002997595,1.8250000002997595,-1.8250000002997595
25,0.009375,9999999999,0,-1.875,-3.1175965717403324e-10,0.0,-1.8250000003117597,1.8250000003117597,-1.8250000003117597
26,0.009375,9999999999,0,-1.875,-3.237596571752333e-10,0.0,-1.8250000003237596,1.8250000003237596,-1.8250000003237596
27,0.009375,9999999999,0,-1.875,-3.357596571764333e-10,0.0,-1.8250000003357596,1.8250000003357596,-1.8250000003357596
28,0.009375,9999999999,0,-1.875,-3.4775965717763326e-10,0.0,-1.8250000003477596,1.8250000003477596,-1.8250000003477596
29,0.009375,9999999999,0,-1.865142857142857,-3.596965714645413e-10,0.0,-1.8151428575025534,1.8151428575025534,-1.8151428575025534
30,0.009375,9999999999,0,-1.875,-3.7169657146574134e-10,-0.0,-1.8250000003716966,1.8250000003716966,-1.8250000003716966
31,0.009375,9999999999,0,-1.875,-3.836965714669413e-10,0.0,-1.8250000003836966,1.8250000003836966,-1.8250000003836966
32,0.009375,9999999999,0,-1.875,-3.956965714681413e-10,0.0,-1.8250000003956965,1.8250000003956965,-1.8250000003956965
33,0.009375,9999999999,0,-1.875,-4.0769657146934136e-10,0.0,-1.8250000004076965,1.8250000004076965,-1.8250000004076965
34,0.009375,9999999999,0,-1.875,-4.196965714705413e-10,0.0,-1.8250000004196965,1.8250000004196965,-1.8250000004196965
35,0.009375,9999999999,0,-1.875,-4.3169657147174135e-10,0.0,-1.8250000004316966,1.8250000004316966,-1.8250000004316966
36,0.009375,9999999999,0,-1.875,-4.436965714729414e-10,0.0,-1.8250000004436966,1.8250000004436966,-1.8250000004436966
37,0.009375,9999999999,0,-1.875,-4.5569657147414133e-10,0.0,-1.8250000004556965,1.8250000004556965,-1.8250000004556965
38,0.009375,9999999999,0,-1.875,-4.676965714753414e-10,0.0,-1.8250000004676965,1.8250000004676965,-1.8250000004676965
39,0.009375,9999999999,0,-1.875,-4.796965714765414e-10,0.0,-1.8250000004796965,1.8250000004796965,-1.8250000004796965
40,0.009375,9999999999,0,-1.875,-4.916965714777414e-10,0.0,-1.8250000004916964,1.8250000004916964,-1.8250000004916964
41,0.009375,9999999999,0,-1.875,-5.036965714789414e-10,0.0,-1.8250000005036966,1.8250000005036966,-1.8250000005036966
42,0.009375,9999999999,0,-1.875,-5.156965714801413e-10,0.0,-1.8250000005156966,1.8250000005156966,-1.8250000005156966
43,0.009375,9999999999,0,-1.875,-5.276965714813413e-10,0.0,-1.8250000005276965,1.8250000005276965,-1.8250000005276965
44,0.009375,9999999999,0,-1.875,-5.396965714825412e-10,0.0,-1.8250000005396965,1.8250000005396965,-1.8250000005396965
45,0.009375,9999999999,0,-1.875,-5.516965714837412e-10,0.0,-1.8250000005516964,1.8250000005516964,-1.8250000005516964
46,0.009375,9999999999,0,-1.875,-5.636965714849411e-10,0.0,-1.8250000005636966,1.8250000005636966,-1.8250000005636966
47,0.009375,9999999999,0,-1.875,-5.75696571486141e-10,0.0,-1.8250000005756966,1.8250000005756966,-1.8250000005756966
48,0.009375,9999999999,0,-1.875,-5.876965714873411e-10,0.0,-1.8250000005876965,1.8250000005876965,-1.8250000005876965
49,0.009375,9999999999,0,-1.875,-5.99696571488541e-10,0.0,-1.8250000005996965,1.8250000005996965,-1.8250000005996965
50,0.009375,9999999999,0,-1.875,-6.11696571489741e-10,0.0,-1.8250000006116964,1.8250000006116964,-1.8250000006116964
51,0.009375,9999999999,0,-1.8303214285714284,-6.234106286337695e-10,0.0,-1.780321429194839,1.780321429194839,-1.780321429194839
52,0.009375,9999999999,0,-1.875,-6.354106286349695e-10,-0.0,-1.8250000006354106,1.8250000006354106,-1.8250000006354106
53,0.009375,9999999999,0,-1.875,-6.474106286361694e-10,0.0,-1.8250000006474105,1.8250000006474105,-1.8250000006474105
54,0.009375,9999999999,0,-1.875,-6.594106286373694e-10,0.0,-1.8250000006594105,1.8250000006594105,-1.8250000006594105
55,0.009375,9999999999,0,-1.875,-6.714106286385694e-10,0.0,-1.8250000006714107,1.8250000006714107,-1.8250000006714107
56,0.009375,9999999999,0,-1.875,-6.834106286397692e-10,0.0,-1.8250000006834106,1.8250000006834106,-1.8250000006834106
