step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0062,9999999999,0,-0.8115268571428571,-5.1937718862336635e-12,-0.0,-0.7615268571480508,2.7615268571480507,1.2384731428519493
1,0.0062,9999999999,0,-0.8292411428571429,-1.050091520105009e-11,-0.0,-0.7792411428676438,2.779241142867644,1.2207588571323562
2,0.0062,9999999999,0,-0.8132982857142856,-1.570602423014203e-11,0.0,-0.7632982857299916,2.7632982857299915,1.2367017142700085
3,0.0062,9999999999,0,-0.7858411428571428,-2.0735407544930683e-11,0.0,-0.7358411428778782,2.735841142877878,1.2641588571221218
4,0.0062,9999999999,0,-0.783184,-2.5747785145431922e-11,0.0,-0.7331840000257477,2.733184000025748,1.2668159999742523
5,0.0062,9999999999,0,-0.8017839999999999,-3.0879202745945065e-11,-0.0,-0.7517840000308791,2.751784000030879,1.248215999969121
6,0.0062,9999999999,0,-0.8239268571428572,-3.615233463218666e-11,-0.0,-0.7739268571790094,2.7739268571790094,1.2260731428209906
7,0.0062,9999999999,0,-0.8239268571428572,-4.142546651842826e-11,0.0,-0.7739268571842826,2.7739268571842826,1.2260731428157174
8,0.0062,9999999999,0,-0.8186125714285714,-4.666458697609503e-11,0.0,-0.7686125714752359,2.768612571475236,1.2313874285247641
9,0.0062,9999999999,0,-0.8115268571428571,-5.18583588623287e-11,0.0,-0.7615268571947155,2.7615268571947156,1.2384731428052844
10,0.0062,9999999999,0,-0.8336697142857143,-5.719384503429082e-11,-0.0,-0.7836697143429081,2.783669714342908,1.216330285657092
11,0.0062,9999999999,0,-0.8168411428571429,-6.242162834909932e-11,0.0,-0.7668411429195645,2.7668411429195645,1.2331588570804355
12,0.0062,9999999999,0,-0.8124125714285714,-6.762106880676212e-11,0.0,-0.7624125714961923,2.7624125714961925,1.2375874285038075
13,0.0062,9999999999,0,-0.8070982857142857,-7.278649783585009e-11,0.0,-0.7570982857870721,2.7570982857870723,1.242901714212928
14,0.0062,9999999999,0,-0.832784,-7.811631543638307e-11,-0.0,-0.7827840000781162,2.782784000078116,1.217215999921884
15,0.0062,9999999999,0,-0.8150697142857144,-8.333276160833329e-11,0.0,-0.7650697143690471,2.765069714369047,1.234930285630953
16,0.0062,9999999999,0,-0.8097554285714285,-8.851519635170868e-11,0.0,-0.7597554286599436,2.7597554286599437,1.2402445713400563
17,0.0062,9999999999,0,-0.8203839999999999,-9.376565395223373e-11,-0.0,-0.7703840000937655,2.7703840000937654,1.2296159999062346
18,0.0062,9999999999,0,-0.8256982857142857,-9.905012298133359e-11,-0.0,-0.7756982858133358,2.775698285813336,1.2243017141866641
19,0.0062,9999999999,0,-0.8053268571428571,-1.0420421486756329e-10,0.0,-0.7553268572470613,2.755326857247061,1.2446731427529387
20,0.0062,9999999999,0,-0.8248125714285715,-1.0948301532523405e-10,-0.0,-0.7748125715380544,2.7748125715380545,1.2251874284619455
21,0.0062,9999999999,0,-0.8221554285714284,-1.1474481006861737e-10,0.0,-0.7721554286861732,2.7721554286861734,1.2278445713138268
22,0.0062,9999999999,0,-0.8079839999999999,-1.1991590766913448e-10,0.0,-0.7579840001199157,2.7579840001199156,1.2420159998800844
23,0.0062,9999999999,0,-0.8416411428571429,-1.2530241098395885e-10,-0.0,-0.7916411429824453,2.7916411429824453,1.2083588570175547
24,0.0062,9999999999,0,-0.8221554285714284,-1.305642057273422e-10,0.0,-0.7721554287019926,2.7721554287019927,1.2278445712980073
25,0.0062,9999999999,0,-0.8141839999999999,-1.3577498332786327e-10,0.0,-0.7641840001357748,2.7641840001357747,1.2358159998642253
26,0.0062,9999999999,0,-0.8159554285714284,-1.409970980712426e-10,-0.0,-0.7659554287124255,2.7659554287124255,1.2340445712875745
27,0.0062,9999999999,0,-0.8203839999999999,-1.4624755567176767e-10,-0.0,-0.7703840001462474,2.7703840001462474,1.2296159998537526
28,0.0062,9999999999,0,-0.8159554285714284,-1.51469670415147e-10,0.0,-0.7659554287228981,2.765955428722898,1.234044571277102
29,0.0062,9999999999,0,-0.8115268571428571,-1.5666344230138069e-10,0.0,-0.7615268572995205,2.7615268572995206,1.2384731427004794
30,0.0062,9999999999,0,-0.8221554285714284,-1.61925237044764e-10,-0.0,-0.7721554287333536,2.7721554287333534,1.2278445712666464
31,0.0062,9999999999,0,-0.8283554285714284,-1.672267117881513e-10,-0.0,-0.778355428738655,2.778355428738655,1.2216445712613448
32,0.0062,9999999999,0,-0.8186125714285714,-1.724658322458181e-10,0.0,-0.7686125716010371,2.7686125716010372,1.2313874283989628
33,0.0062,9999999999,0,-0.8000125714285714,-1.7758591270347293e-10,0.0,-0.7500125716061573,2.7500125716061574,1.2499874283938426
34,0.0062,9999999999,0,-0.8017839999999999,-1.8271733030398607e-10,-0.0,-0.7517840001827172,2.751784000182717,1.2482159998172828
35,0.0062,9999999999,0,-0.783184,-1.8772970790448728e-10,0.0,-0.7331840001877297,2.7331840001877294,1.2668159998122703
36,0.0062,9999999999,0,-0.776984,-1.927024055049846e-10,0.0,-0.7269840001927024,2.7269840001927026,1.2730159998072976
37,0.0062,9999999999,0,-0.7743268571428571,-1.9765809739119444e-10,0.0,-0.7243268573405152,2.724326857340515,1.275673142659485
38,0.0062,9999999999,0,-0.7504125714285714,-2.0246073784881756e-10,0.0,-0.7004125716310321,2.7004125716310323,1.299587428368968
39,0.0062,9999999999,0,-0.7530697142857142,-2.072803840207281e-10,-0.0,-0.7030697144929946,2.7030697144929947,1.2969302855070053
40,0.0062,9999999999,0,-0.7318125714285714,-2.1196398447833935e-10,0.0,-0.6818125716405353,2.681812571640535,1.3181874283594648
41,0.0062,9999999999,0,-0.721184,-2.1657956207880093e-10,0.0,-0.6711840002165795,2.6711840002165794,1.3288159997834206
42,0.0062,9999999999,0,-0.7256125714285714,-2.2122348253640816e-10,-0.0,-0.6756125716497948,2.6756125716497947,1.3243874283502053
43,0.0062,9999999999,0,-0.7158697142857143,-2.2580504870829488e-10,0.0,-0.6658697145115193,2.665869714511519,1.3341302854884807
44,0.0062,9999999999,0,-0.6981554285714285,-2.3027324345159883e-10,0.0,-0.6481554288017017,2.6481554288017017,1.3518445711982983
45,0.0062,9999999999,0,-0.6751268571428571,-2.345940553377452e-10,0.0,-0.6251268573774511,2.625126857377451,1.374873142622549
46,0.0062,9999999999,0,-0.6618411428571428,-2.3882983865245454e-10,0.0,-0.6118411430959726,2.6118411430959725,1.3881588569040275
47,0.0062,9999999999,0,-0.6627268571428572,-2.430712905385929e-10,-0.0,-0.6127268573859285,2.6127268573859284,1.3872731426140716
48,0.0062,9999999999,0,-0.6520982857142856,-2.4724471956758167e-10,0.0,-0.6020982859615303,2.6020982859615303,1.3979017140384697
49,0.0062,9999999999,0,-0.5874411428571428,-2.5100434288224334e-10,0.0,-0.5374411431081471,2.537441143108147,1.462558856891853
50,0.0062,9999999999,0,-0.6414697142857143,-2.551097490540825e-10,-0.0,-0.591469714540824,2.591469714540824,1.4085302854591761
51,0.0062,9999999999,0,-0.6281840000000001,-2.5913012665448453e-10,0.0,-0.5781840002591302,2.5781840002591303,1.4218159997408697
52,0.0062,9999999999,0,-0.6193268571428572,-2.630938185405952e-10,0.0,-0.5693268574059509,2.569326857405951,1.430673142594049
53,0.0062,9999999999,0,-0.5812411428571428,-2.6681376185525287e-10,0.0,-0.5312411431239565,2.5312411431239568,1.4687588568760435
54,0.0062,9999999999,0,-0.5838982857142857,-2.7055071088419804e-10,-0.0,-0.5338982859848364,2.5338982859848365,1.4661017140151635
55,0.0062,9999999999,0,-0.6042697142857143,-2.7441803705601335e-10,-0.0,-0.5542697145601323,2.5542697145601325,1.4457302854398677
56,0.0062,9999999999,0,-0.5582125714285714,-2.779905975135134e-10,0.0,-0.508212571706562,2.508212571706562,1.491787428293438
57,0.0062,9999999999,0,-0.49798400000000004,-2.811776951138321e-10,0.0,-0.44798400028117774,2.4479840002811777,1.5520159997188223
58,0.0062,9999999999,0,-0.5511268571428571,-2.8470490699989917e-10,-0.0,-0.501126857427562,2.501126857427562,1.498873142572438
59,0.0062,9999999999,0,-0.5458125714285714,-2.8819810745739135e-10,0.0,-0.49581257171676957,2.4958125717167694,1.5041874282832304
60,0.0062,9999999999,0,-0.5015268571428572,-2.9140787934342657e-10,0.0,-0.45152685743426507,2.4515268574342652,1.548473142565735
61,0.0062,9999999999,0,-0.5068411428571428,-2.946516626580367e-10,-0.0,-0.4568411431517944,2.4568411431517942,1.5431588568482055
62,0.0062,9999999999,0,-0.49266971428571427,-2.9780474882978057e-10,0.0,-0.442669714583519,2.442669714583519,1.557330285416481
63,0.0062,9999999999,0,-0.49798400000000004,-3.009918464300993e-10,-0.0,-0.4479840003009919,2.447984000300992,1.5520159996990082
64,0.0062,9999999999,0,-0.48735542857142855,-3.0411092117326834e-10,0.0,-0.43735542887553946,2.4373554288755397,1.5626445711244605
65,0.0062,9999999999,0,-0.5272125714285714,-3.074850816307486e-10,-0.0,-0.4772125717360564,2.4772125717360565,1.5227874282639435
66,0.0062,9999999999,0,-0.4846982857142857,-3.1058715065963025e-10,0.0,-0.43469828602487287,2.4346982860248727,1.565301713975127
67,0.0062,9999999999,0,-0.4386411428571429,-3.133944539741967e-10,0.0,-0.3886411431705374,2.3886411431705374,1.6113588568294626
68,0.0062,9999999999,0,-0.4120697142857142,-3.16031700145889e-10,0.0,-0.3620697146017459,2.3620697146017458,1.637930285398254
69,0.0062,9999999999,0,-0.39612685714285717,-3.185669120318568e-10,0.0,-0.3461268574614241,2.346126857461424,1.653873142538576
70,0.0062,9999999999,0,-0.4005554285714286,-3.2113046677497027e-10,-0.0,-0.3505554288925591,2.350555428892559,1.6494445711074408
71,0.0062,9999999999,0,-0.3686697142857142,-3.234899529466348e-10,0.0,-0.3186697146092042,2.318669714609204,1.6813302853907959
72,0.0062,9999999999,0,-0.31198399999999993,-3.2548665054683447e-10,0.0,-0.2619840003254866,2.2619840003254867,1.7380159996745135
73,0.0062,9999999999,0,-0.32969828571428567,-3.275967195756169e-10,-0.0,-0.2796982860418824,2.2796982860418824,1.7203017139581176
74,0.0062,9999999999,0,-0.3066697142857142,-3.295594057472417e-10,0.0,-0.2566697146152736,2.2566697146152737,1.7433302853847263
75,0.0062,9999999999,0,-0.2765554285714286,-3.313293604902758e-10,0.0,-0.22655542890275798,2.226555428902758,1.773444571097242
