step,tof,accX,accY,accZ,acc,incl,orient,roll,pitch,gyroX,gyroY,gyroZ,mic0,mic1,mic2,mic3,
0,24,-19,-9,768,768.2877197265625,1.5654561519622803,0.0,-1.417087370578702,-0.6711988304567981,-606,-1942,104,7,7,8,7,
1,24,-19,-8,767,767.2769775390625,1.537021279335022,0.0,-1.4189544241624783,-0.5974042482807858,-558,-1985,126,7,6,7,6,
2,24,-20,-10,770,770.3245849609375,1.6607879400253296,0.0,-1.4877421273510045,-0.743808368224078,-559,-1975,96,5,5,6,5,
3,24,-23,-9,769,769.3965454101562,1.8369505405426025,0.0,-1.7130299517918495,-0.6702314929563843,-556,-1945,105,5,4,5,5,
4,24,-22,-9,768,768.3677368164062,1.7701425552368164,0.0,-1.6407240400395036,-0.6711289057691101,-578,-1975,121,5,5,5,5,
5,25,-21,-8,766,766.32958984375,1.6778024435043335,0.0,-1.5702930809106166,-0.5981428667261877,-582,-1967,117,5,3,4,4,
6,25,15,-161,776,792.6676635742188,11.768147468566895,354.6824035644531,1.0842980621516871,-11.718976622940012,-765,-1386,-3297,15,6,4,7,
7,25,-74,-4,703,706.8953247070312,6.015237331390381,86.9031982421875,-6.0089094008347725,-0.3242125575346343,-287,-2254,402,30,15,14,15,
8,25,-12,31,766,766.720947265625,2.482279062271118,0.0,-0.8967766382242018,2.3172100271338225,-601,-1598,1547,12,7,7,9,
9,25,-4,21,718,718.3181762695312,1.7028017044067383,0.0,-0.319056806045927,1.6752782711212288,-646,-1766,298,16,7,9,11,
10,22,-5,23,731,731.3788452148438,1.8416088819503784,0.0,-0.3917000540322141,1.802103325862962,-543,-1997,-1493,15,11,8,8,
11,22,-18,-20,825,825.4386596679688,1.8654333353042603,0.0,-1.2495244307789952,-1.3883862993575546,-873,-1774,-82,15,11,10,15,
12,22,-29,-72,795,798.7803344726562,5.573980331420898,21.93381690979004,-2.08060062998999,-5.171513009962075,-480,-2133,282,11,8,7,8,
13,22,-28,-3,723,723.5482177734375,2.2279083728790283,0.0,-2.2177962824615363,-0.23756237754784001,-501,-1876,-170,14,10,9,11,
14,22,-57,-36,793,795.8605346679688,4.85678243637085,0.0,-4.10707375556531,-2.592605123600523,-318,-2273,430,16,10,10,8,
15,34,18,21,783,783.4883422851562,2.0204763412475586,0.0,1.3164391947626968,1.5358945387647853,-914,-1995,-327,11,12,10,12,
16,34,-16,-23,790,790.4967041015625,2.0285840034484863,0.0,-1.1597709408966073,-1.6672921802734575,-593,-1627,802,10,10,9,8,
17,34,-13,-74,825,828.4141235351562,5.201102256774902,9.958789825439453,-0.8991586031686198,-5.124908407847596,-404,-1994,-467,15,10,12,13,
18,34,-9,-31,777,777.6702270507812,2.3763670921325684,0.0,-0.6631005040214466,-2.284567174430954,-654,-2614,599,13,11,13,12,
19,34,-32,6,753,753.7035522460938,2.4731879234313965,0.0,-2.4333390650855184,0.45611874941427344,-643,-1923,-383,15,11,11,12,
20,27,-42,-20,725,726.4909057617188,3.66873836517334,0.0,-3.314240135214028,-1.5775289325266075,-465,-1951,-730,10,9,10,11,
21,27,-18,-47,789,790.6035766601562,3.6473045349121094,0.0,-1.3045895489231363,-3.4081433974242903,-523,-2100,723,10,9,12,16,
22,27,-30,-26,807,807.9758911132812,2.8137168884277344,0.0,-2.127871202098344,-1.8440494890482455,-869,-1748,-166,13,11,8,11,
23,27,-30,27,767,768.0612182617188,3.009660243988037,0.0,-2.2385075021339786,2.0145593239211363,-457,-2003,-634,14,10,13,10,
24,24,-48,3,744,745.5527954101562,3.696018934249878,0.0,-3.6913560604720588,0.2305508059632072,-416,-1454,830,11,7,7,8,
25,24,-6,-19,750,750.2646484375,1.5191802978515625,0.0,-0.4582094535323868,-1.4511362727482289,-583,-2022,-157,14,9,8,11,
26,24,-45,8,753,754.3858642578125,3.47092342376709,0.0,-3.4197905573932665,0.6076132420161229,-468,-1898,798,6,8,8,8,
27,24,-30,35,672,673.5792236328125,3.9216747283935547,0.0,-2.5526946957464287,2.9784999945447073,-392,-1788,-823,15,10,12,10,
28,24,-24,-31,790,790.97216796875,2.838463544845581,0.0,-1.7387587315467208,-2.246127258415891,-616,-2097,-268,8,10,8,10,
29,29,-24,-21,756,756.6723022460938,2.412895917892456,0.0,-1.8176023347493286,-1.590339504302101,-599,-2126,716,8,4,6,7,
30,29,-12,-5,773,773.1093139648438,0.9608573317527771,0.0,-0.889365784565422,-0.3705567792868409,-654,-2199,927,4,5,6,7,
31,29,-27,-16,780,780.6311645507812,2.301567316055298,0.0,-1.982107226260088,-1.1744300294477257,-471,-2320,-67,9,9,7,8,
32,29,5,2,768,768.0188598632812,0.3991055190563202,0.0,0.3730128630081567,0.1492042598540772,-866,-2120,341,12,8,8,14,
33,29,-19,-3,821,821.2252807617188,1.3395341634750366,0.0,-1.3257226105148334,-0.20930641079962262,-958,-1749,542,6,6,6,8,
34,27,-9,-35,770,770.8475952148438,2.6845338344573975,0.0,-0.6689697698944751,-2.60238468845799,-772,-2091,-1161,8,6,8,8,
35,27,-37,1,801,801.854736328125,2.643127918243408,0.0,-2.6447394863086107,0.07145408336296659,-606,-2021,-922,8,7,10,7,
36,27,-18,44,750,751.505126953125,3.624347686767578,0.0,-1.3724758358818194,3.356539666098285,-586,-1617,479,12,8,9,8,
37,27,-1,-15,781,781.1446533203125,1.1001152992248535,0.0,-0.07334850655791131,-1.1002949252700305,-656,-2052,-129,10,7,12,9,
38,27,-12,-92,816,821.257568359375,6.484218597412109,7.4263129234313965,-0.8372206788177957,-6.43196429292222,-449,-2515,1055,9,7,9,10,
39,33,0,12,771,771.0933837890625,0.8890631198883057,0.0,0.0,0.8916911075218863,-746,-1778,380,12,7,11,9,
40,33,-15,-8,755,755.1913452148438,1.287268042564392,0.0,-1.1381131348190279,-0.6069651081522165,-582,-2330,-27,13,7,10,8,
41,33,-27,-65,789,792.1331787109375,5.095211029052734,22.552595138549805,-1.9533151236588475,-4.7068066492464045,-561,-2304,-749,15,10,10,11,
42,33,-12,-26,755,755.5428466796875,2.1694812774658203,0.0,-0.9100453573747306,-1.9720713911771608,-487,-2376,-615,6,9,8,8,
43,33,0,13,741,741.114013671875,1.0024611949920654,0.0,0.0,1.005086005254181,-654,-1948,313,6,5,9,9,
44,37,-54,12,780,781.9591064453125,4.054068088531494,0.0,-3.959844728505514,0.8792996496950706,-488,-1792,320,6,7,9,11,
45,37,-22,-16,729,729.5073852539062,2.134434700012207,0.0,-1.7281501836870845,-1.2567467111486952,-640,-2607,912,8,7,9,11,
46,37,-43,-66,750,754.1253051757812,5.9932637214660645,33.080509185791016,-3.268761083699984,-5.020870522129921,-321,-2047,45,9,6,14,12,
47,37,-20,19,768,768.4953002929688,2.0545599460601807,0.0,-1.4912843432844416,1.4167045263619504,-646,-2275,-454,10,6,5,6,
48,37,-33,-9,774,774.7554321289062,2.5278377532958984,0.0,-2.4411998952956337,-0.6655953399232403,-444,-2258,416,6,12,6,10,
49,38,-19,-42,773,774.373291015625,3.410228729248047,0.0,-1.405948622906867,-3.1091001551520345,-502,-2303,-495,7,9,10,7,
50,38,-40,-44,813,815.1717529296875,4.180737495422363,0.0,-2.812599752221158,-3.0941209779474277,-571,-1548,104,11,7,7,11,
51,38,-42,-91,809,815.1846313476562,7.059781551361084,24.770559310913086,-2.9533047377380264,-6.409352837225784,-548,-2320,322,13,9,12,11,
52,38,-9,-3,765,765.058837890625,0.7078596949577332,0.0,-0.6740317156166642,-0.22467263204282875,-557,-2102,680,9,11,10,7,
53,38,-24,43,774,775.56494140625,3.637878656387329,0.0,-1.7733115197853253,3.1783056812240122,-617,-1790,630,8,9,10,9,
54,41,-35,-19,730,731.0855102539062,3.1200735569000244,0.0,-2.744028035080714,-1.4892135072372794,-564,-1980,-43,15,14,14,15,
55,41,-32,-46,767,769.044189453125,4.175976753234863,0.0,-2.3847711292044638,-3.4291656487695668,-557,-1973,266,14,13,9,12,
56,41,-32,-12,776,776.752197265625,2.519170045852661,0.0,-2.36109268729596,-0.8851943970824108,-451,-2154,-671,9,11,12,10,
57,41,-36,24,737,738.2689208984375,3.357218027114868,0.0,-2.795006409605782,1.86292688895258,-351,-1787,-1253,8,9,10,7,
58,41,-19,-63,770,772.8065795898438,4.882007122039795,0.0,-1.4087994960872101,-4.676000847784112,-502,-2085,131,6,8,7,5,
59,45,-21,-27,789,789.7410888671875,2.479785919189453,0.0,-1.523731276483278,-1.9592339527238496,-514,-2159,2296,13,9,10,12,
60,45,-12,-62,800,802.4886474609375,4.510946273803711,0.0,-0.8568033927824273,-4.431068234798494,-625,-1976,96,7,6,8,7,
61,45,-21,3,765,765.2940673828125,1.5857765674591064,0.0,-1.5724183429145533,0.22460357070773918,-434,-2245,-1110,7,7,8,9,
62,45,-33,-18,773,773.9134521484375,2.7814433574676514,0.0,-2.4438575179647732,-1.332729210466384,-526,-2107,-1039,9,9,9,7,
63,45,-12,-26,765,765.5357666015625,2.1411147117614746,0.0,-0.8981651151501007,-1.9463190166552127,-550,-2257,-248,8,10,9,10,
64,46,-4,4,764,764.0209350585938,0.4215843379497528,0.0,-0.2999710510745847,0.2999710510745847,-660,-1824,-230,7,9,9,9,
65,46,-19,23,787,787.5652465820312,2.168286085128784,0.0,-1.3823939761669755,1.6734998708572728,-637,-1924,809,9,9,10,7,
66,46,-24,-46,795,796.6912841796875,3.7314822673797607,0.0,-1.7262731558785969,-3.310030538743293,-637,-1675,891,11,12,11,13,
67,46,9,-51,801,802.6724243164062,3.6967155933380127,0.0,0.6424449300253217,-3.6428988867643146,-566,-2051,788,10,7,9,7,
68,42,-13,18,735,735.3353271484375,1.7277189493179321,0.0,-1.0129854250006909,1.4026622382227634,-584,-1863,534,8,7,6,9,
69,42,-19,24,730,730.6414794921875,2.398545265197754,0.0,-1.4901186747613904,1.8823815984409022,-528,-1957,-356,8,8,9,9,
70,42,-15,-15,765,765.2940673828125,1.5857765674591064,0.0,-1.1230868949176152,-1.1230868949176152,-402,-2192,-1479,7,10,9,9,
71,42,-27,-45,789,790.7433471679688,3.802750587463379,0.0,-1.956749763217196,-3.2623782157445103,-532,-2072,-744,7,8,6,9,
72,42,-33,-18,750,750.94140625,2.8666865825653076,0.0,-2.518664954504515,-1.3735063790774944,-541,-2035,1244,9,7,6,7,
73,47,-15,20,752,752.4154663085938,1.9014772176742554,0.0,-1.1423125861074943,1.5231619503986347,-533,-2012,875,10,9,7,8,
74,47,-15,-12,753,753.2449951171875,1.4587109088897705,0.0,-1.141054409600226,-0.912821802868063,-462,-1994,486,13,8,10,9,
75,47,-24,2,755,755.384033203125,1.8244167566299438,0.0,-1.8207033090028275,0.15169991904796026,-596,-2074,589,7,9,9,11,
76,47,-17,3,755,755.1973266601562,1.307192325592041,0.0,-1.2898755061656066,0.22760646109841176,-555,-1986,-196,10,12,7,9,
77,47,-10,6,780,780.087158203125,0.8539412617683411,0.0,-0.7344993062083437,0.4406918583979906,-567,-2012,-738,7,10,8,6,
78,51,-10,-36,795,795.8775024414062,2.68820858001709,0.0,-0.7199259555563071,-2.5925498294927576,-594,-1888,-135,9,7,8,8,
79,51,-16,-18,771,771.3760375976562,1.7865217924118042,0.0,-1.1885230665348958,-1.3371139266530638,-500,-2153,-422,9,6,6,10,
80,51,-29,36,737,738.4483642578125,3.586575746536255,0.0,-2.250671892988085,2.794326649388779,-521,-2232,985,8,8,7,9,
81,51,-37,38,768,769.8292236328125,3.9480056762695312,0.0,-2.754845971010532,2.8293610483228786,-415,-1733,992,10,9,8,9,
82,51,-26,-13,780,780.54150390625,2.131709337234497,0.0,-1.9088875243093488,-0.9543113262037626,-474,-1964,568,7,7,7,7,
83,49,-43,-33,759,760.9329833984375,4.082257270812988,0.0,-3.239485890450353,-2.485572259394918,-461,-1686,132,6,8,6,5,
84,49,-5,-109,837,844.0823364257812,7.424982070922852,2.6211740970611572,-0.3393988462101516,-7.419570907059491,-555,-1808,-1511,7,8,8,6,
85,49,-13,6,747,747.13720703125,1.0954365730285645,0.0,-0.9969825082646436,0.4601274985678511,-599,-2260,303,7,14,6,6,
86,49,-51,-6,717,718.8365478515625,4.094012260437012,0.0,-4.0684377078956,-0.4782431613729313,-403,-1968,-57,7,9,8,6,
87,49,-38,-18,773,774.1427612304688,3.1109890937805176,0.0,-2.8135830317495802,-1.3323343525953057,-373,-1875,1292,9,10,11,9,
88,56,-10,-109,830,837.1863403320312,7.51019811630249,5.236667156219482,-0.6844012858382935,-7.481034842980575,-521,-1652,-189,6,7,11,10,
89,56,0,-31,805,805.5966796875,2.2027385234832764,0.0,0.0,-2.205331608618036,-583,-2031,769,6,9,7,5,
90,56,-7,-24,759,759.41162109375,1.883929967880249,0.0,-0.5281406403924123,-1.8110438237073931,-587,-2046,-523,5,8,11,14,
91,56,-5,3,757,757.0224609375,0.4386807978153229,0.0,-0.37843128421886957,0.2270577139621722,-561,-2251,504,11,10,12,10,
92,56,-21,0,732,732.3011474609375,1.6406724452972412,0.0,-1.6432806544927732,0.0,-485,-2350,-547,14,10,12,10,
93,62,-34,46,737,739.2164916992188,4.435524940490723,0.0,-2.6362291334257844,3.5677097299887346,-580,-2391,-29,7,10,9,9,
94,62,-3,81,743,747.408203125,6.2234344482421875,177.87884521484375,-0.22997848133659296,6.2216219591770825,-556,-2045,534,11,11,16,14,
95,62,-21,-43,744,745.5374145507812,3.677638530731201,0.0,-1.614098166019792,-3.3064559342549313,-539,-2148,-140,11,9,10,7,
96,62,-27,14,728,728.635009765625,2.389679431915283,0.0,-2.1236150394294326,1.100949376688989,-496,-2132,373,7,9,10,9,
97,62,-29,-18,768,768.7581176757812,2.5421338081359863,0.0,-2.1618919694355947,-1.3416682089399208,-526,-2774,301,10,10,9,10,
98,60,-8,49,771,772.596923828125,3.681941509246826,0.0,-0.5932905191697487,3.6362800419016947,-731,-2012,-274,16,11,12,10,
99,60,-1,-32,804,804.63720703125,2.27774977684021,0.0,-0.07120699280084235,-2.2792242603164903,-580,-1850,371,13,12,10,14,
100,60,-2,-56,801,802.9576416015625,3.999192714691162,0.0,-0.14271198041556682,-3.9991777780703246,-591,-2031,-661,13,17,12,15,
101,60,-12,-45,792,793.3681640625,3.3627710342407227,0.0,-0.8666538788003756,-3.25157319346844,-636,-1752,617,8,12,10,11,
102,60,-21,16,771,771.451904296875,1.958572506904602,0.0,-1.5598640061193063,1.1884062163415605,-579,-2013,461,15,13,12,12,
103,65,-20,28,762,762.7764892578125,2.5829453468322754,0.0,-1.502467525717562,2.1036860976367215,-474,-1914,-2,13,13,13,11,
104,65,-15,-39,758,759.1508178710938,3.1527023315429688,0.0,-1.1321763455461011,-2.944763211226403,-524,-2065,166,10,12,14,15,
105,65,-11,-2,772,772.0809326171875,0.8270841240882874,0.0,-0.816332658994437,-0.14841926425292135,-620,-2063,-267,13,13,13,12,
106,65,-19,3,777,777.238037109375,1.4155086278915405,0.0,-1.4007655071601326,0.2211520182333559,-611,-2049,-281,11,12,10,10,
107,70,-45,12,682,683.5883178710938,3.9040181636810303,0.0,-3.774458677161039,1.0058461281156792,-441,-2132,155,9,7,9,7,
108,70,-12,-21,752,752.3888549804688,1.8395802974700928,0.0,-0.9138605599685085,-1.5993958813471778,-629,-2082,504,7,12,10,10,
109,70,-14,0,750,750.1306762695312,1.066776156425476,0.0,-1.0693970206331174,0.0,-506,-2134,431,10,9,11,9,
110,70,-29,-20,746,746.831298828125,2.701056480407715,0.0,-2.225396065943325,-1.5345535089539057,-602,-1999,-82,8,9,10,9,
111,70,-27,23,762,762.8250122070312,2.662410020828247,0.0,-2.0283934204947482,1.7277916363630292,-491,-2080,-151,7,8,7,6,
112,75,-7,-36,778,778.8638916015625,2.6963024139404297,0.0,-0.5149498491232123,-2.6492217259416413,-557,-2323,262,7,6,7,7,
113,75,-6,18,739,739.2435302734375,1.468123197555542,0.0,-0.46504086488835195,1.3952451698463846,-477,-2242,118,6,9,8,7,
114,75,-21,10,771,771.3507690429688,1.7253625392913818,0.0,-1.5600685358212543,0.7428187970385388,-498,-1951,329,6,10,7,12,
115,75,-33,40,720,721.8649291992188,4.116887092590332,0.0,-2.6201852909218126,3.176502279488922,-478,-2233,126,6,10,7,8,
116,75,-7,-21,786,786.3116455078125,1.6105709075927734,0.0,-0.5100722568293578,-1.5303785217011507,-675,-1721,-184,8,7,7,7,
117,74,-39,-51,768,770.6788940429688,4.776149749755859,0.0,-2.9006764732098116,-3.794344976801641,-481,-2042,-105,8,8,7,9,
118,74,6,-44,801,802.2300415039062,3.1706526279449463,0.0,0.42852782234006676,-3.1440857540844753,-728,-2519,402,6,11,9,7,
119,74,-6,-15,767,767.1701049804688,1.2040328979492188,0.0,-0.44811205598490544,-1.1203401102424286,-593,-2195,300,8,12,7,10,
120,74,0,33,808,808.673583984375,2.336163282394409,0.0,0.0,2.3387506061988352,-766,-1652,-105,7,10,8,8,
121,74,-23,-74,779,782.8447875976562,5.678389549255371,17.261009216308594,-1.6835936915415668,-5.42409848861319,-544,-1988,56,7,9,8,7,
122,76,0,-45,778,779.3003540039062,3.307779550552368,0.0,0.0,-3.3103349083680107,-569,-2016,361,8,9,8,7,
123,76,-3,27,747,747.4938354492188,2.080167055130005,0.0,-0.2299521374906503,2.0700139742391865,-512,-1939,188,10,11,12,9,
124,76,-7,6,745,745.0570678710938,0.7063774466514587,0.0,-0.5383163075838354,0.4614121768725126,-473,-1919,364,10,10,10,11,
125,76,-6,-10,763,763.089111328125,0.8730253577232361,0.0,-0.45050861278681914,-0.7508614433146886,-692,-2153,-119,11,13,10,12,
126,76,-4,-32,774,774.6715698242188,2.383286237716675,0.0,-0.2958468507604797,-2.3674378892157413,-477,-2107,-132,8,6,10,11,
127,82,1,-1,709,709.0014038085938,0.11163486540317535,0.0,0.08081196689656224,-0.08081196689656224,-500,-1933,414,7,9,10,10,
128,82,3,22,751,751.3281860351562,1.6908758878707886,0.0,0.22877858843998083,1.6779450284802,-653,-1953,467,8,6,9,6,
129,82,-25,-12,732,732.5250854492188,2.16694712638855,0.0,-1.9558001879605014,-0.9386437731890344,-663,-1990,449,7,6,8,10,
130,82,-17,8,738,738.2391357421875,1.455732822418213,0.0,-1.3195106147535733,0.6209034370799257,-495,-2168,-174,9,14,11,9,
131,82,6,9,741,741.0789184570312,0.8336754441261292,0.0,0.4638890851056144,0.6958431309624072,-705,-2146,-134,7,7,8,9,
132,85,-11,45,772,773.388671875,3.431443929672241,0.0,-0.8149522603033029,3.335667185144645,-701,-1828,321,9,5,8,11,
133,85,-8,-28,797,797.5317993164062,2.089920997619629,0.0,-0.5747406099202871,-2.0119718678803737,-584,-1887,185,7,8,10,13,
134,85,-23,15,765,765.49267578125,2.053105115890503,0.0,-1.721768698205259,1.1227954967354539,-562,-1642,1117,8,12,10,8,
135,85,-43,13,738,739.365966796875,3.480752468109131,0.0,-3.334085797955332,1.0074625731583633,-413,-2088,292,7,14,10,11,
136,85,-34,41,729,730.9432373046875,4.176290988922119,0.0,-2.666088978526359,3.215517247914251,-627,-1998,433,11,13,10,10,
137,85,1,-21,818,818.2701416015625,1.4696463346481323,0.0,0.07002063489322355,-1.4705944278487724,-634,-1948,-268,10,11,11,9,
138,85,-43,-17,779,780.37109375,3.3943207263946533,0.0,-3.1587113747331808,-1.2482591308942859,-481,-1842,-911,8,9,8,8,
139,85,-38,-68,785,788.8555297851562,5.664551258087158,29.19303321838379,-2.7610665466040087,-4.945080914706281,-540,-2002,358,4,9,7,7,
140,85,-35,-2,761,761.8070678710938,2.6350133419036865,0.0,-2.6332893652595737,-0.15042088259513442,-518,-1973,514,11,10,8,8,
141,85,0,-26,776,776.4354248046875,1.9163880348205566,0.0,0.0,-1.9189860859527823,-661,-1923,666,9,8,9,9,
142,90,-14,-6,790,790.1468505859375,1.1019253730773926,0.0,-1.0152326973558792,-0.43508114118489993,-567,-2085,385,5,7,6,5,
143,90,-26,-33,784,785.1248168945312,3.064788341522217,0.0,-1.8977398525425786,-2.408939077395936,-591,-2079,-148,6,5,6,5,
144,90,-28,-17,739,739.7256469726562,2.535433053970337,0.0,-2.169270757556567,-1.316858546088608,-560,-1869,-573,11,9,7,9,
145,90,-21,16,731,731.4765625,2.0657958984375,0.0,-1.6451336004096684,1.253362861043032,-364,-1947,-564,10,14,11,12,
146,92,-21,-6,730,730.32666015625,1.7110732793807983,0.0,-1.6477246903113683,-0.4707188891492538,-491,-1817,515,11,11,12,12,
147,92,-6,0,784,784.02294921875,0.43583935499191284,0.0,-0.4384795481653794,0.0,-604,-2172,450,9,9,9,7,
148,92,-14,21,769,769.4140625,1.8771952390670776,0.0,-1.0425923062969282,1.5639963756705817,-392,-2037,20,6,8,7,9,
149,92,-33,25,788,789.0867919921875,3.004913330078125,0.0,-2.3968367824562584,1.8155597091520077,-244,-1943,17,7,6,7,6,
