step,gs0,gs1,gs2,
353,939,938,941,
354,939,938,941,
355,940,939,941,
356,940,939,941,
357,939,939,941,
358,940,937,941,
359,940,937,941,
360,939,939,941,
361,939,939,941,
362,939,937,941,
363,939,937,941,
364,940,939,941,
365,940,939,941,
366,940,939,941,
367,940,939,941,
368,940,937,942,
369,940,937,942,
370,940,939,941,
371,940,939,941,
372,938,939,942,
373,938,939,942,
374,939,937,942,
375,939,937,942,
376,939,938,942,
377,939,938,942,
378,940,938,941,
379,940,938,941,
380,940,938,941,
381,940,938,941,
382,939,938,941,
383,939,938,941,
384,939,938,941,
385,939,938,941,
386,940,940,941,
387,940,940,941,
388,939,938,941,
389,939,938,941,
390,939,937,941,
391,939,937,941,
392,939,938,941,
393,939,938,941,
394,938,938,941,
395,938,938,941,
396,939,938,941,
397,938,937,941,
398,938,937,941,
399,939,937,941,
400,939,937,941,
401,938,938,941,
402,938,938,941,
403,938,937,941,
404,938,937,941,
405,938,937,941,
406,938,937,941,
407,939,937,941,
408,939,937,941,
409,938,939,941,
410,938,939,941,
411,938,937,941,
412,938,937,941,
413,938,938,941,
414,938,938,941,
415,940,938,941,
416,940,938,941,
417,943,938,942,
418,943,938,942,
419,942,938,942,
420,942,938,942,
421,940,936,942,
422,940,936,942,
423,940,931,938,
424,940,931,938,
425,940,931,936,
426,940,931,936,
427,940,930,937,
428,940,930,937,
429,940,930,936,
430,940,930,936,
431,940,930,935,
432,940,930,935,
433,940,931,936,
434,940,931,936,
435,940,930,936,
436,938,930,934,
437,938,930,934,
438,939,929,934,
439,939,929,934,
440,939,932,935,
441,939,932,935,
442,940,937,938,
443,940,937,938,
444,940,936,940,
445,940,936,940,
446,941,938,940,
447,941,938,940,
448,941,939,940,
449,941,939,940,
450,941,939,940,
451,941,939,940,
452,942,939,937,
453,942,939,937,
454,941,937,939,
455,941,937,939,
456,941,939,939,
457,941,939,939,
458,942,939,940,
459,942,939,940,
460,942,939,939,
461,942,939,939,
462,942,939,939,
463,942,939,939,
464,942,939,940,
465,942,939,940,
466,940,940,940,
467,940,940,940,
468,941,940,940,
469,941,940,940,
470,940,940,940,
471,940,940,940,
472,940,938,941,
473,940,938,941,
474,941,940,940,
475,941,940,940,
476,940,940,941,
477,940,940,941,
478,940,937,941,
479,940,937,941,
480,939,939,940,
481,939,939,940,
482,939,939,940,
483,939,939,940,
484,938,940,941,
485,939,940,941,
486,939,940,941,
487,938,939,941,
488,938,939,941,
489,937,940,941,
490,937,940,941,
491,938,939,941,
492,938,939,941,
493,937,939,941,
494,937,939,941,
495,939,937,941,
496,939,937,941,
497,938,939,941,
498,938,939,941,
499,938,937,940,
500,938,937,940,
501,937,939,938,
502,937,939,938,
503,937,937,940,
504,937,937,940,
505,936,936,940,
506,936,936,940,
507,937,936,938,
508,937,936,938,
509,937,936,940,
510,937,936,940,
511,938,938,940,
512,938,938,940,
513,939,938,940,
514,939,938,940,
515,939,938,940,
516,939,938,940,
517,940,938,941,
518,940,938,941,
519,938,938,941,
520,938,938,941,
521,939,938,941,
522,939,938,941,
523,939,938,941,
524,939,938,941,
525,940,938,941,
526,940,938,941,
527,940,936,941,
