step,gs0,gs1,gs2,
353,746,603,668,
354,746,603,668,
355,728,584,657,
356,728,584,657,
357,690,568,631,
358,690,568,631,
359,567,454,523,
360,567,454,523,
361,486,398,455,
362,486,398,455,
363,491,388,446,
364,491,388,446,
365,495,396,428,
366,495,396,428,
367,489,377,443,
368,489,377,443,
369,534,404,443,
370,534,404,443,
371,704,526,578,
372,704,526,578,
373,823,629,671,
374,823,629,671,
375,829,681,725,
376,829,681,725,
377,831,659,724,
378,831,659,724,
379,841,681,735,
380,841,681,735,
381,842,660,724,
382,846,680,734,
383,846,680,734,
384,854,686,744,
385,854,686,744,
386,863,695,739,
387,863,695,739,
388,857,688,730,
389,857,688,730,
390,865,689,730,
391,865,689,730,
392,855,670,731,
393,855,670,731,
394,866,682,744,
395,866,682,744,
396,866,679,736,
397,866,679,736,
398,874,676,744,
399,874,676,744,
400,883,674,742,
401,883,674,742,
402,884,679,763,
403,884,679,763,
404,868,676,745,
405,868,676,745,
406,865,679,758,
407,865,679,758,
408,874,681,747,
409,874,681,747,
410,866,682,758,
411,866,682,758,
412,877,681,769,
413,877,681,769,
414,875,682,755,
415,875,682,755,
416,875,684,776,
417,875,684,776,
418,852,691,773,
419,852,691,773,
420,874,680,761,
421,884,704,771,
422,884,704,771,
423,855,682,764,
424,855,682,764,
425,721,617,684,
426,721,617,684,
427,561,447,507,
428,561,447,507,
429,517,388,432,
430,517,388,432,
431,516,399,433,
432,516,399,433,
433,524,396,429,
434,524,396,429,
435,534,384,428,
436,534,384,428,
437,656,463,511,
438,656,463,511,
439,905,681,726,
440,905,681,726,
441,936,833,892,
442,936,833,892,
443,937,838,892,
444,937,838,892,
445,937,837,890,
446,937,837,890,
447,937,845,888,
448,937,845,888,
449,937,839,883,
450,937,839,883,
451,937,842,892,
452,937,842,892,
453,937,835,885,
454,937,835,885,
455,939,820,883,
456,939,820,883,
457,938,834,885,
458,938,834,885,
459,937,832,898,
460,937,832,898,
461,939,847,892,
462,938,832,904,
463,938,832,904,
464,938,832,904,
465,938,824,887,
466,939,828,898,
467,939,828,898,
468,938,827,889,
469,938,827,889,
470,938,827,903,
471,938,827,903,
472,939,832,903,
473,939,832,903,
474,937,818,891,
475,937,818,891,
476,938,815,889,
477,938,815,889,
478,936,813,883,
479,936,813,883,
480,938,797,886,
481,938,797,886,
482,937,822,884,
483,937,822,884,
484,935,792,890,
