step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.009375,9999999999,0,-1.875,-1.20000000012e-11,-0.0,-1.825000000012,1.825000000012,-1.825000000012
1,0.009375,9999999999,0,-1.875,-2.40000000024e-11,0.0,-1.8250000000239999,1.8250000000239999,-1.8250000000239999
2,0.009375,9999999999,0,-1.875,-3.6000000003600005e-11,0.0,-1.825000000036,1.825000000036,-1.825000000036
3,0.009375,9999999999,0,-1.875,-4.80000000048e-11,0.0,-1.825000000048,1.825000000048,-1.825000000048
4,0.009375,9999999999,0,-1.875,-6.000000000599999e-11,0.0,-1.82500000006,1.82500000006,-1.82500000006
5,0.009375,9999999999,0,-1.875,-7.200000000719998e-11,0.0,-1.825000000072,1.825000000072,-1.825000000072
6,0.009375,9999999999,0,-1.875,-8.400000000839999e-11,0.0,-1.8250000000839999,1.8250000000839999,-1.8250000000839999
7,0.009375,9999999999,0,-1.875,-9.600000000959999e-11,0.0,-1.825000000096,1.825000000096,-1.825000000096
8,0.009375,9999999999,0,-1.875,-1.080000000108e-10,0.0,-1.825000000108,1.825000000108,-1.825000000108
9,0.009375,9999999999,0,-1.875,-1.2000000001199999e-10,0.0,-1.82500000012,1.82500000012,-1.82500000012
10,0.009375,9999999999,0,-1.875,-1.3200000001319998e-10,0.0,-1.825000000132,1.825000000132,-1.825000000132
11,0.009375,9999999999,0,-1.875,-1.4400000001439997e-10,0.0,-1.8250000001439999,1.8250000001439999,-1.8250000001439999
12,0.009375,9999999999,0,-1.875,-1.560000000156e-10,0.0,-1.825000000156,1.825000000156,-1.825000000156
13,0.009375,9999999999,0,-1.875,-1.680000000168e-10,0.0,-1.825000000168,1.825000000168,-1.825000000168
14,0.009375,9999999999,0,-1.875,-1.8000000001800002e-10,0.0,-1.82500000018,1.82500000018,-1.82500000018
15,0.009375,9999999999,0,-1.875,-1.9200000001920003e-10,0.0,-1.825000000192,1.825000000192,-1.825000000192
16,0.009375,9999999999,0,-1.875,-2.0400000002040005e-10,0.0,-1.8250000002039999,1.8250000002039999,-1.8250000002039999
17,0.009375,9999999999,0,-1.875,-2.1600000002160004e-10,0.0,-1.825000000216,1.825000000216,-1.825000000216
18,0.009375,9999999999,0,-1.875,-2.2800000002280008e-10,0.0,-1.825000000228,1.825000000228,-1.825000000228
19,0.009375,9999999999,0,-1.875,-2.40000000024e-10,0.0,-1.82500000024,1.82500000024,-1.82500000024
20,0.009375,9999999999,0,-1.875,-2.5200000002520007e-10,0.0,-1.825000000252,1.825000000252,-1.825000000252
21,0.009375,9999999999,0,-1.875,-2.6400000002640006e-10,0.0,-1.8250000002639999,1.8250000002639999,-1.8250000002639999
22,0.009375,9999999999,0,-1.8229285714285712,-2.7566674288470956e-10,0.0,-1.772928571704238,1.772928571704238,-1.772928571704238
23,0.009375,9999999999,0,-1.875,-2.876667428859096e-10,-0.0,-1.8250000002876667,1.8250000002876667,-1.8250000002876667
24,0.009375,9999999999,0,-1.7532857142857143,-2.988877714584603e-10,0.0,-1.703285714584602,1.703285714584602,-1.703285714584602
25,0.009375,9999999999,0,-1.875,-3.1088777145966027e-10,-0.0,-1.8250000003108877,1.8250000003108877,-1.8250000003108877
26,0.009375,9999999999,0,-1.875,-3.228877714608603e-10,0.0,-1.8250000003228877,1.8250000003228877,-1.8250000003228877
27,0.009375,9999999999,0,-1.875,-3.3488777146206036e-10,0.0,-1.8250000003348876,1.8250000003348876,-1.8250000003348876
28,0.009375,9999999999,0,-1.875,-3.468877714632603e-10,0.0,-1.8250000003468878,1.8250000003468878,-1.8250000003468878
29,0.009375,9999999999,0,-1.8604285714285713,-3.587945143215939e-10,0.0,-1.8104285717873658,1.8104285717873658,-1.8104285717873658
30,0.009375,9999999999,0,-1.875,-3.7079451432279387e-10,-0.0,-1.8250000003707945,1.8250000003707945,-1.8250000003707945
31,0.009375,9999999999,0,-1.875,-3.8279451432399386e-10,0.0,-1.8250000003827944,1.8250000003827944,-1.8250000003827944
32,0.009375,9999999999,0,-1.875,-3.947945143251939e-10,0.0,-1.8250000003947944,1.8250000003947944,-1.8250000003947944
33,0.009375,9999999999,0,-1.875,-4.0679451432639395e-10,0.0,-1.8250000004067946,1.8250000004067946,-1.8250000004067946
34,0.009375,9999999999,0,-1.875,-4.187945143275939e-10,0.0,-1.8250000004187945,1.8250000004187945,-1.8250000004187945
35,0.009375,9999999999,0,-1.875,-4.3079451432879393e-10,0.0,-1.8250000004307945,1.8250000004307945,-1.8250000004307945
36,0.009375,9999999999,0,-1.875,-4.4279451432999397e-10,0.0,-1.8250000004427944,1.8250000004427944,-1.8250000004427944
37,0.009375,9999999999,0,-1.875,-4.547945143311939e-10,0.0,-1.8250000004547944,1.8250000004547944,-1.8250000004547944
38,0.009375,9999999999,0,-1.875,-4.66794514332394e-10,0.0,-1.8250000004667946,1.8250000004667946,-1.8250000004667946
39,0.009375,9999999999,0,-1.875,-4.787945143335939e-10,0.0,-1.8250000004787945,1.8250000004787945,-1.8250000004787945
40,0.009375,9999999999,0,-1.875,-4.907945143347939e-10,0.0,-1.8250000004907945,1.8250000004907945,-1.8250000004907945
41,0.009375,9999999999,0,-1.875,-5.027945143359938e-10,0.0,-1.8250000005027944,1.8250000005027944,-1.8250000005027944
42,0.009375,9999999999,0,-1.1532857142857142,-5.101755429081605e-10,0.0,-1.1032857147958897,3.1032857147958897,0.8967142852041103
43,0.009375,9999999999,0,-0.9979285714285714,-5.16562285765942e-10,0.0,-0.9479285719451336,2.9479285719451336,1.0520714280548664
44,0.009375,9999999999,0,-1.875,-5.28562285767142e-10,-0.0,-1.8250000005285623,1.8250000005285623,-1.8250000005285623
45,0.009375,9999999999,0,-1.875,-5.40562285768342e-10,0.0,-1.8250000005405622,1.8250000005405622,-1.8250000005405622
46,0.009375,9999999999,0,-1.875,-5.525622857695419e-10,0.0,-1.8250000005525622,1.8250000005525622,-1.8250000005525622
47,0.009375,9999999999,0,-1.7157857142857142,-5.635433143420685e-10,0.0,-1.6657857148492574,1.6657857148492574,-1.6657857148492574
48,0.009375,9999999999,0,-1.875,-5.755433143432686e-10,-0.0,-1.8250000005755433,1.8250000005755433,-1.8250000005755433
49,0.009375,9999999999,0,-1.875,-5.875433143444685e-10,0.0,-1.8250000005875433,1.8250000005875433,-1.8250000005875433
50,0.009375,9999999999,0,-1.875,-5.995433143456685e-10,0.0,-1.8250000005995433,1.8250000005995433,-1.8250000005995433
51,0.009375,9999999999,0,-1.875,-6.115433143468683e-10,0.0,-1.8250000006115432,1.8250000006115432,-1.8250000006115432
52,0.009375,9999999999,0,-1.875,-6.235433143480683e-10,0.0,-1.8250000006235432,1.8250000006235432,-1.8250000006235432
53,0.009375,9999999999,0,-1.875,-6.355433143492683e-10,0.0,-1.8250000006355434,1.8250000006355434,-1.8250000006355434
54,0.009375,9999999999,0,-1.875,-6.475433143504682e-10,0.0,-1.8250000006475433,1.8250000006475433,-1.8250000006475433
55,0.009375,9999999999,0,-1.875,-6.595433143516683e-10,0.0,-1.8250000006595433,1.8250000006595433,-1.8250000006595433
56,0.009375,9999999999,0,-1.875,-6.715433143528682e-10,0.0,-1.8250000006715432,1.8250000006715432,-1.8250000006715432
57,0.009375,9999999999,0,-1.875,-6.835433143540681e-10,0.0,-1.8250000006835432,1.8250000006835432,-1.8250000006835432
