step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0062,9999999999,0.0525,-1.24,-7.9360000007936e-12,-1.0171875,-2.207187500007936,2.207187500007936,-2.207187500007936
1,0.0062,9999999999,0.0525,-1.24,-1.58720000015872e-11,0.0,-1.190000000015872,3.190000000015872,0.8099999999841281
2,0.0062,9999999999,0.0525,-1.24,-2.3808000002380802e-11,0.0,-1.190000000023808,3.190000000023808,0.809999999976192
3,0.0062,9999999999,0.0525,-1.24,-3.17440000031744e-11,0.0,-1.1900000000317439,3.190000000031744,0.8099999999682561
4,0.0062,9999999999,0.0525,-1.24,-3.9680000003968e-11,0.0,-1.19000000003968,3.1900000000396798,0.80999999996032
5,0.0062,9999999999,0.0525,-1.24,-4.761600000476159e-11,0.0,-1.1900000000476159,3.1900000000476156,0.8099999999523841
6,0.0062,9999999999,0.0525,-1.24,-5.555200000555519e-11,0.0,-1.190000000055552,3.190000000055552,0.809999999944448
7,0.0062,9999999999,0.0525,-1.24,-6.348800000634879e-11,0.0,-1.190000000063488,3.1900000000634883,0.809999999936512
8,0.0062,9999999999,0.0525,-1.24,-7.14240000071424e-11,0.0,-1.190000000071424,3.190000000071424,0.8099999999285761
9,0.0062,9999999999,0.0525,-1.24,-7.936000000793598e-11,0.0,-1.19000000007936,3.19000000007936,0.80999999992064
10,0.0062,9999999999,0.0525,-1.24,-8.729600000872959e-11,0.0,-1.190000000087296,3.190000000087296,0.8099999999127041
11,0.0062,9999999999,0.0525,-1.24,-9.523200000952318e-11,0.0,-1.190000000095232,3.1900000000952318,0.809999999904768
12,0.0062,9999999999,0.0525,-1.24,-1.031680000103168e-10,0.0,-1.1900000001031679,3.1900000001031676,0.8099999998968321
13,0.0062,9999999999,0.0525,-1.24,-1.1110400001111041e-10,0.0,-1.190000000111104,3.190000000111104,0.809999999888896
14,0.0062,9999999999,0.0525,-1.24,-1.1904000001190402e-10,0.0,-1.1900000001190398,3.19000000011904,0.8099999998809602
15,0.0062,9999999999,0.0525,-1.24,-1.2697600001269764e-10,0.0,-1.190000000126976,3.190000000126976,0.8099999998730241
16,0.0062,9999999999,0.0525,-1.24,-1.3491200001349123e-10,0.0,-1.190000000134912,3.190000000134912,0.809999999865088
17,0.0062,9999999999,0.0525,-1.24,-1.4284800001428483e-10,0.0,-1.190000000142848,3.190000000142848,0.8099999998571521
18,0.0062,9999999999,0.0525,-1.24,-1.5078400001507845e-10,0.0,-1.190000000150784,3.1900000001507838,0.809999999849216
19,0.0062,9999999999,0.0525,-1.24,-1.5872000001587204e-10,0.0,-1.1900000001587199,3.1900000001587197,0.8099999998412801
20,0.0062,9999999999,0.0525,-1.24,-1.6665600001666564e-10,0.0,-1.190000000166656,3.190000000166656,0.809999999833344
