step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.006225,9999999999,0,-1.2422609999999998,-7.950470400795047e-12,-0.0,-1.1922610000079503,3.1922610000079503,0.8077389999920497
1,0.006225,9999999999,0,-1.244928857142857,-1.591801508730609e-11,-0.0,-1.1949288571587748,3.194928857158775,0.8050711428412252
2,0.006225,9999999999,0,-1.2449999999999999,-2.3886015088102892e-11,-0.0,-1.1950000000238858,3.195000000023886,0.8049999999761142
3,0.006225,9999999999,0,-1.2449999999999999,-3.185401508889969e-11,0.0,-1.195000000031854,3.195000000031854,0.8049999999681461
4,0.006225,9999999999,0,-1.2369252857142856,-3.9770336918262745e-11,0.0,-1.186925285754056,3.186925285754056,0.813074714245944
5,0.006225,9999999999,0,-1.2404824285714287,-4.7709424461913797e-11,-0.0,-1.190482428619138,3.190482428619138,0.809517571380862
6,0.006225,9999999999,0,-1.2449999999999999,-5.56774244627106e-11,-0.0,-1.1950000000556773,3.1950000000556775,0.8049999999443227
7,0.006225,9999999999,0,-1.2449999999999999,-6.364542446350739e-11,0.0,-1.1950000000636454,3.1950000000636454,0.8049999999363546
8,0.006225,9999999999,0,-1.2449999999999999,-7.161342446430419e-11,0.0,-1.1950000000716132,3.195000000071613,0.8049999999283868
9,0.006225,9999999999,0,-1.2449999999999999,-7.9581424465101e-11,0.0,-1.1950000000795813,3.195000000079581,0.8049999999204187
10,0.006225,9999999999,0,-1.2449999999999999,-8.754942446589778e-11,0.0,-1.1950000000875494,3.1950000000875494,0.8049999999124506
11,0.006225,9999999999,0,-1.2378145714285713,-9.547143772383285e-11,0.0,-1.1878145715240427,3.1878145715240427,0.8121854284759573
12,0.006225,9999999999,0,-1.244928857142857,-1.0343898241034387e-10,-0.0,-1.194928857246296,3.194928857246296,0.8050711427537041
13,0.006225,9999999999,0,-1.2449999999999999,-1.114069824111407e-10,-0.0,-1.1950000001114067,3.1950000001114067,0.8049999998885933
14,0.006225,9999999999,0,-1.2440395714285712,-1.1936883566907975e-10,0.0,-1.19403957154794,3.1940395715479397,0.8059604284520601
15,0.006225,9999999999,0,-1.2449999999999999,-1.2733683566987654e-10,-0.0,-1.1950000001273366,3.1950000001273366,0.8049999998726634
16,0.006225,9999999999,0,-1.2449999999999999,-1.3530483567067333e-10,0.0,-1.1950000001353047,3.1950000001353045,0.8049999998646953
17,0.006225,9999999999,0,-1.2449999999999999,-1.4327283567147017e-10,0.0,-1.1950000001432726,3.1950000001432723,0.8049999998567274
18,0.006225,9999999999,0,-1.2449999999999999,-1.5124083567226696e-10,0.0,-1.1950000001512406,3.1950000001512406,0.8049999998487594
19,0.006225,9999999999,0,-1.2449999999999999,-1.5920883567306378e-10,0.0,-1.1950000001592087,3.195000000159209,0.8049999998407913
20,0.006225,9999999999,0,-1.2404824285714287,-1.6714792321671482e-10,0.0,-1.1904824287385765,3.1904824287385765,0.8095175712614235
21,0.006225,9999999999,0,-1.2449999999999999,-1.7511592321751163e-10,-0.0,-1.1950000001751158,3.1950000001751158,0.8049999998248842
22,0.006225,9999999999,0,-1.2449999999999999,-1.8308392321830842e-10,0.0,-1.1950000001830838,3.195000000183084,0.8049999998169162
23,0.006225,9999999999,0,-1.2449999999999999,-1.9105192321910524e-10,0.0,-1.1950000001910517,3.195000000191052,0.8049999998089483
24,0.006225,9999999999,0,-1.2440395714285712,-1.9901377647704426e-10,0.0,-1.194039571627585,3.194039571627585,0.8059604283724151
25,0.006225,9999999999,0,-1.2440395714285712,-2.0697562973498326e-10,0.0,-1.1940395716355467,3.194039571635547,0.8059604283644533
26,0.006225,9999999999,0,-1.2449999999999999,-2.149436297357801e-10,-0.0,-1.1950000002149435,3.1950000002149435,0.8049999997850565
