step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0062,9999999999,0.001,0.23846971428571404,1.5262061715811903e-12,0.003726089285714282,0.2921958035729545,1.7078041964270456,2.2921958035729544
1,0.0062,9999999999,0.001,0.2721977142857142,3.268271543183968e-12,0.0005270000000000025,0.3227247142889825,1.6772752857110176,2.3227247142889826
2,0.0062,9999999999,0.001,0.3110982857142855,5.259300571954499e-12,0.0006078214285714268,0.3617061071481162,1.6382938928518838,2.361706107148116
3,0.0062,9999999999,0.001,0.3102125714285712,7.244661029295891e-12,-1.383928571428532e-05,0.36019873215010156,1.6398012678498985,2.3601987321501015
4,0.0062,9999999999,0.001,0.31818399999999974,9.281038629499528e-12,0.00012455357142857062,0.36830855358070935,1.6316914464192906,2.368308553580709
5,0.0062,9999999999,0.001,0.356269714285714,1.156116480115611e-11,0.0005950892857142853,0.40686480358298943,1.5931351964170106,2.4068648035829896
6,0.0062,9999999999,0.001,0.3527977142857144,1.3819070172810472e-11,-5.424999999999471e-05,0.40274346429953345,1.5972565357004664,2.4027434642995336
7,0.0062,9999999999,0.001,0.37228342857142843,1.6201684115905875e-11,0.00030446428571428253,0.4225878928733444,1.5774121071266556,2.422587892873344
8,0.0062,9999999999,0.001,0.361654857142857,1.8516275201851618e-11,-0.00016607142857142935,0.41148878573280184,1.5885112142671982,2.411488785732802
9,0.0062,9999999999,0.001,0.39701257142857105,2.1057155659248562e-11,0.0005524642857142828,0.44756503573534245,1.5524349642646575,2.4475650357353427
10,0.0062,9999999999,0.001,0.35545485714285696,2.3332066745190337e-11,-0.0006493392857142827,0.40480551788047475,1.5951944821195252,2.4048055178804746
11,0.0062,9999999999,0.001,0.3501405714285714,2.5572966402557286e-11,-8.303571428571192e-05,0.4000575357398587,1.5999424642601414,2.4000575357398586
12,0.0062,9999999999,0.001,0.3713977142857144,2.794991177422355e-11,0.0003321428571428587,0.42172985717080713,1.5782701428291928,2.4217298571708072
13,0.0062,9999999999,0.001,0.40239771428571436,3.052525714590966e-11,0.000484375,0.4528820893162396,1.5471179106837605,2.4528820893162395
14,0.0062,9999999999,0.001,0.3855691428571429,3.299289966044214e-11,-0.00026294642857142933,0.4353061964615643,1.5646938035384357,2.435306196461564
15,0.0062,9999999999,0.001,0.3563405714285714,3.527347931781305e-11,-0.0004566964285714294,0.40588387503527346,1.5941161249647267,2.4058838750352733
16,0.0062,9999999999,0.001,0.3607691428571429,3.758240183232966e-11,6.919642857142936e-05,0.4108383393232967,1.5891616606767034,2.4108383393232966
17,0.0062,9999999999,0.001,0.35545485714285696,3.985731291827144e-11,-8.303571428571743e-05,0.4053718214684286,1.5946281785315715,2.4053718214684285
18,0.0062,9999999999,0.001,0.358926857142857,4.2154444804215433e-11,5.425000000000022e-05,0.4089811071850114,1.5910188928149887,2.4089811071850113
19,0.0062,9999999999,0.001,0.3669691428571429,4.450304731873601e-11,0.0001256607142857172,0.41709480361593165,1.5829051963840683,2.4170948036159317
20,0.0062,9999999999,0.001,0.4289691428571429,4.724844983329626e-11,0.00096875,0.4799378929043913,1.5200621070956086,2.4799378929043914
