step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0062,9999999999,0.01,-0.30312685714285714,-1.940011885908287e-12,-0.047363571428571435,-0.3004904285733686,2.3004904285733687,1.6995095714266313
1,0.0062,9999999999,0.01,-0.30578399999999994,-3.897029486103989e-12,-0.0004151785714285596,-0.2561991785753256,2.2561991785753257,1.7438008214246743
2,0.0062,9999999999,0.01,-0.31375542857142863,-5.905064229161935e-12,-0.001245535714285734,-0.26500096429161946,2.2650009642916196,1.7349990357083804
3,0.0062,9999999999,0.01,-0.2960411428571429,-7.799727543637116e-12,0.002767857142857147,-0.24327328572208545,2.2432732857220854,1.7567267142779146
4,0.0062,9999999999,0.01,-0.30224114285714293,-9.734070858116266e-12,-0.00096875,-0.253209892866877,2.253209892866877,1.746790107133123
5,0.0062,9999999999,0.01,-0.30312685714285714,-1.1674082744024554e-11,-0.0001383928571428532,-0.2532652500116741,2.2532652500116743,1.746734749988326
6,0.0062,9999999999,0.01,-0.33501257142857144,-1.3818163201381817e-11,-0.004982142857142853,-0.2899947142995325,2.2899947142995325,1.7100052857004675
7,0.0062,9999999999,0.01,-0.2845268571428572,-1.56391350872782e-11,0.007888392857142853,-0.22663846430135348,2.2266384643013533,1.7733615356986465
8,0.0062,9999999999,0.01,-0.2880697142857142,-1.7482781258891137e-11,-0.0005535714285714128,-0.23862328573176844,2.2386232857317685,1.7613767142682315
9,0.0062,9999999999,0.01,-0.30755542857142865,-1.9451136001945116e-11,-0.0030446428571428807,-0.2606000714480227,2.2606000714480228,1.7393999285519772
10,0.0062,9999999999,0.01,-0.27035542857142864,-2.1181410744975285e-11,0.0058125,-0.21454292859261004,2.21454292859261,1.7854570714073899
11,0.0062,9999999999,0.01,-0.2898411428571429,-2.30363940594465e-11,-0.003044642857142853,-0.24288578573732217,2.242885785737322,1.7571142142626779
12,0.0062,9999999999,0.01,-0.2986982857142857,-2.4948063088209095e-11,-0.0013839285714285596,-0.2500822143106623,2.2500822143106625,1.7499177856893378
13,0.0062,9999999999,0.01,-0.3093268571428572,-2.6927754974121348e-11,-0.0016607142857142936,-0.2609875714554992,2.260987571455499,1.7390124285445008
14,0.0062,9999999999,0.01,-0.26769828571428567,-2.86410240028641e-11,0.006504464285714293,-0.21119382145721244,2.211193821457212,1.7888061785427876
15,0.0062,9999999999,0.01,-0.26415542857142865,-3.033161874589031e-11,0.0005535714285714128,-0.21360185717318886,2.213601857173189,1.7863981428268112
16,0.0062,9999999999,0.01,-0.24112685714285717,-3.1874830631758914e-11,0.0035982142857142936,-0.18752864288901772,2.187528642889018,1.8124713571109823
17,0.0062,9999999999,0.01,-0.23581257142857143,-3.338403108905269e-11,0.0008303571428571468,-0.18498221431909828,2.1849822143190982,1.8150177856809018
18,0.0062,9999999999,0.01,-0.23226971428571422,-3.487055726062991e-11,0.0005535714285714404,-0.18171614289201332,2.1817161428920135,1.8182838571079867
19,0.0062,9999999999,0.01,-0.22695542857142864,-3.6323072003632305e-11,0.0008303571428571192,-0.1761250714648946,2.1761250714648948,1.8238749285351055
20,0.0062,9999999999,0.01,-0.23049828571428568,-3.7798261032351246e-11,-0.0005535714285714128,-0.18105185718065536,2.1810518571806554,1.8189481428193446
21,0.0062,9999999999,0.01,-0.22341257142857143,-3.922810148963709e-11,0.0011071428571428532,-0.17230542861065667,2.172305428610657,1.8276945713893433
22,0.0062,9999999999,0.01,-0.2216411428571429,-4.064660480406466e-11,0.0002767857142857064,-0.1713643571835038,2.1713643571835037,1.8286356428164963
23,0.0062,9999999999,0.01,-0.20304114285714292,-4.1946068118480316e-11,0.00290625,-0.150134892899089,2.150134892899089,1.8498651071009111
24,0.0062,9999999999,0.01,-0.19152685714285717,-4.317184000431718e-11,0.0017991071428571468,-0.13972775004317184,2.1397277500431717,1.8602722499568283
25,0.0062,9999999999,0.01,-0.25795542857142867,-4.4822754747339414e-11,-0.010379464285714294,-0.21833489290196573,2.2183348929019657,1.7816651070980343
26,0.0062,9999999999,0.01,-0.1826697142857142,-4.5991840918884896e-11,0.01176339285714288,-0.12090632147456319,2.120906321474563,1.8790936785254369
27,0.0062,9999999999,0.01,-0.18621257142857142,-4.7183601376146926e-11,-0.0005535714285714404,-0.13676614290432643,2.1367661429043263,1.8632338570956737
28,0.0062,9999999999,0.01,-0.15255542857142865,-4.81599561191017e-11,0.005258928571428559,-0.09729650004816003,2.09729650004816,1.90270349995184
29,0.0062,9999999999,0.01,-0.14635542857142864,-4.9096630862052515e-11,0.00096875,-0.09538667862052529,2.095386678620525,1.9046133213794747
30,0.0062,9999999999,0.01,-0.16495542857142864,-5.0152345605015234e-11,-0.00290625,-0.11786167862158099,2.117861678621581,1.882138321378419
31,0.0062,9999999999,0.01,-0.14901257142857144,-5.1106026062253456e-11,0.00249107142857144,-0.09652150005110603,2.096521500051106,1.903478499948894
32,0.0062,9999999999,0.01,-0.14901257142857144,-5.205970651949167e-11,0.0,-0.09901257148063115,2.0990125714806314,1.9009874285193689
33,0.0062,9999999999,0.01,-0.13395542857142864,-5.2917021262434555e-11,0.00235267857142856,-0.0816027500529171,2.0816027500529173,1.918397249947083
34,0.0062,9999999999,0.01,-0.13749828571428568,-5.379701029109398e-11,-0.0005535714285714128,-0.0880518571966541,2.088051857196654,1.9119481428033458
35,0.0062,9999999999,0.01,-0.12155542857142865,-5.4574965034028913e-11,0.002491071428571413,-0.0690643571974322,2.069064357197432,1.930935642802568
36,0.0062,9999999999,0.01,-0.11801257142857144,-5.5330245491247305e-11,0.0005535714285714404,-0.06745900005533023,2.0674590000553303,1.9325409999446697
37,0.0062,9999999999,0.01,-0.10206971428571421,-5.5983491662741193e-11,0.00249107142857144,-0.04957864291312626,2.049578642913126,1.9504213570868738
38,0.0062,9999999999,0.01,-0.12066971428571421,-5.6755777834246995e-11,-0.00290625,-0.07357596434246999,2.07357596434247,1.92642403565753
39,0.0062,9999999999,0.01,-0.11181257142857143,-5.7471378291461416e-11,0.0013839285714285596,-0.060428642914614236,2.0604286429146144,1.9395713570853859
40,0.0062,9999999999,0.01,-0.12775542857142866,-5.828901303440033e-11,-0.00249107142857144,-0.08024650005828911,2.0802465000582893,1.919753499941711
41,0.0062,9999999999,0.01,-0.09409828571428569,-5.889124206303197e-11,0.005258928571428587,-0.038839357201748345,2.0388393572017485,1.9611606427982518
42,0.0062,9999999999,0.01,-0.08524114285714292,-5.943678537737224e-11,0.0013839285714285596,-0.03385721434515114,2.033857214345151,1.9661427856548488
43,0.0062,9999999999,0.01,-0.09232685714285717,-6.002767726314561e-11,-0.0011071428571428532,-0.04343400006002769,2.0434340000600275,1.9565659999399723
44,0.0062,9999999999,0.01,-0.07638399999999995,-6.05165348631945e-11,0.00249107142857144,-0.023892928631945046,2.023892928631945,1.9761070713680549
45,0.0062,9999999999,0.01,-0.06486971428571421,-6.093170103466459e-11,0.0017991071428571468,-0.013070607203788762,2.013070607203789,1.9869293927962113
46,0.0062,9999999999,0.01,-0.058669714285714214,-6.130718720613071e-11,0.00096875,-0.007700964347021402,2.0077009643470216,1.9922990356529786
47,0.0062,9999999999,0.01,-0.06575542857142866,-6.172802194902993e-11,-0.0011071428571428807,-0.016862571490299558,2.0168625714902997,1.9831374285097005
48,0.0062,9999999999,0.01,-0.05778399999999995,-6.209783954906691e-11,0.001245535714285734,-0.006538464347812058,2.006538464347812,1.9934615356521879
49,0.0062,9999999999,0.01,-0.051583999999999956,-6.242797714909993e-11,0.00096875,-0.0006152500624279356,2.000615250062428,1.999384749937572
50,0.0062,9999999999,0.01,-0.047155428571428654,-6.272977189198724e-11,0.000691964285714266,0.0035365356515558444,1.9964634643484442,2.003536535651556
51,0.0062,9999999999,0.01,-0.039183999999999955,-6.298054949201233e-11,0.001245535714285734,0.01206153565130523,1.9879384643486948,2.012061535651305
52,0.0062,9999999999,0.01,-0.020583999999999956,-6.31122870920255e-11,0.00290625,0.03232224993688776,1.9676777500631122,2.032322249936888
53,0.0062,9999999999,0.01,-0.010841142857142915,-6.318167040631815e-11,0.0015223214285714128,0.04068117850824683,1.9593188214917532,2.040681178508247
54,0.0062,9999999999,0.01,-0.017926857142857175,-6.329640229204392e-11,-0.0011071428571428532,0.030965999936703573,1.9690340000632964,2.030965999936704
55,0.0062,9999999999,0.01,-0.015269714285714218,-6.339412846348225e-11,0.00041517857142858716,0.03514546422232025,1.9648545357776797,2.03514546422232
56,0.0062,9999999999,0.01,-0.015269714285714218,-6.349185463492059e-11,0.0,0.03473028565079393,1.9652697143492062,2.034730285650794
57,0.0062,9999999999,0.01,-0.013498285714285697,-6.357824366350066e-11,0.0002767857142857064,0.036778499936421766,1.9632215000635782,2.0367784999364216
58,0.0062,9999999999,0.01,0.002444571428571345,-6.356259840635624e-11,0.002491071428571413,0.05493564279358016,1.94506435720642,2.05493564279358
