step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.003125,9999999999,0,-0.6244464285714286,-3.996457143256788e-12,-0.0,-0.574446428575425,2.574446428575425,1.425553571424575
1,0.003125,9999999999,0,-0.6227857142857144,-7.982285715083944e-12,0.0,-0.5727857142936966,2.5727857142936967,1.4272142857063033
2,0.003125,9999999999,0,-0.6245714285714286,-1.1979542858340812e-11,-0.0,-0.574571428583408,2.574571428583408,1.425428571416592
3,0.003125,9999999999,0,-0.6245714285714286,-1.597680000159768e-11,0.0,-0.5745714285874053,2.5745714285874053,1.4254285714125947
4,0.003125,9999999999,0,-0.6227857142857144,-1.9962628573424836e-11,0.0,-0.5727857143056769,2.572785714305677,1.427214285694323
5,0.003125,9999999999,0,-0.623125,-2.3950628573823637e-11,-0.0,-0.5731250000239506,2.5731250000239507,1.4268749999760493
6,0.003125,9999999999,0,-0.625,-2.795062857422363e-11,-0.0,-0.5750000000279506,2.5750000000279507,1.4249999999720493
7,0.003125,9999999999,0,-0.6244464285714286,-3.1947085717480425e-11,0.0,-0.5744464286033757,2.574446428603376,1.4255535713966243
8,0.003125,9999999999,0,-0.6245714285714286,-3.594434286073729e-11,-0.0,-0.5745714286073729,2.574571428607373,1.4254285713926271
9,0.003125,9999999999,0,-0.625,-3.994434286113729e-11,-0.0,-0.5750000000399443,2.5750000000399442,1.4249999999600558
10,0.003125,9999999999,0,-0.625,-4.394434286153729e-11,0.0,-0.5750000000439442,2.575000000043944,1.4249999999560559
11,0.003125,9999999999,0,-0.625,-4.79443428619373e-11,0.0,-0.5750000000479443,2.575000000047944,1.4249999999520557
12,0.003125,9999999999,0,-0.6244464285714286,-5.1940800005194093e-11,0.0,-0.5744464286233694,2.5744464286233693,1.4255535713766307
13,0.003125,9999999999,0,-0.6227857142857144,-5.5926628577021246e-11,0.0,-0.5727857143416409,2.572785714341641,1.427214285658359
14,0.003125,9999999999,0,-0.6240178571428572,-5.99203428631349e-11,-0.0,-0.5740178572027774,2.5740178572027776,1.4259821427972226
15,0.003125,9999999999,0,-0.6195535714285715,-6.388548572067427e-11,0.0,-0.5695535714924569,2.569553571492457,1.430446428507543
16,0.003125,9999999999,0,-0.6026785714285715,-6.774262857820285e-11,0.0,-0.552678571496314,2.552678571496314,1.447321428503686
17,0.003125,9999999999,0,-0.6061607142857143,-7.162205715001936e-11,-0.0,-0.5561607143573363,2.556160714357336,1.4438392856426638
18,0.003125,9999999999,0,-0.6025892857142857,-7.547862857897645e-11,0.0,-0.5525892857897643,2.5525892857897645,1.4474107142102357
19,0.003125,9999999999,0,-0.6043750000000001,-7.934662857936325e-11,-0.0,-0.5543750000793467,2.5543750000793466,1.4456249999206534
20,0.003125,9999999999,0,-0.5990178571428572,-8.318034286546091e-11,0.0,-0.5490178572260375,2.5490178572260374,1.4509821427739626
21,0.003125,9999999999,0,-0.5999107142857143,-8.701977143727342e-11,-0.0,-0.549910714372734,2.549910714372734,1.450089285627266
22,0.003125,9999999999,0,-0.5945535714285715,-9.08249142947968e-11,0.0,-0.5445535715193963,2.5445535715193963,1.4554464284806037
23,0.003125,9999999999,0,-0.5861607142857144,-9.45763428666005e-11,0.0,-0.5361607143802907,2.5361607143802907,1.4638392856197093
24,0.003125,9999999999,0,-0.5811607142857143,-9.829577143840101e-11,0.0,-0.53116071438401,2.53116071438401,1.46883928561599
25,0.003125,9999999999,0,-0.5927678571428572,-1.0208948572449467e-10,-0.0,-0.5427678572449466,2.5427678572449466,1.4572321427550534
26,0.003125,9999999999,0,-0.5883035714285715,-1.0585462858201405e-10,0.0,-0.5383035715344261,2.538303571534426,1.461696428465574
27,0.003125,9999999999,0,-0.5838392857142857,-1.0959120001095914e-10,0.0,-0.5338392858238769,2.533839285823877,1.466160714176123
28,0.003125,9999999999,0,-0.5749107142857143,-1.1327062858275564e-10,0.0,-0.5249107143989848,2.5249107143989846,1.4750892856010152
29,0.003125,9999999999,0,-0.5740178571428571,-1.169443428688373e-10,0.0,-0.5240178572598014,2.5240178572598015,1.4759821427401985
30,0.003125,9999999999,0,-0.5766964285714286,-1.2063520001206355e-10,-0.0,-0.5266964286920637,2.5266964286920635,1.4733035713079363
31,0.003125,9999999999,0,-0.5633035714285715,-1.242403428695669e-10,0.0,-0.5133035715528118,2.513303571552812,1.4866964284471882
32,0.003125,9999999999,0,-0.5704464285714286,-1.2789120001278915e-10,-0.0,-0.5204464286993198,2.52044642869932,1.4795535713006802
33,0.003125,9999999999,0,-0.560625,-1.3147920001314796e-10,0.0,-0.5106250001314792,2.510625000131479,1.4893749998685208
34,0.003125,9999999999,0,-0.5561607142857142,-1.3503862858493246e-10,0.0,-0.5061607144207528,2.5061607144207527,1.4938392855792473
35,0.003125,9999999999,0,-0.5525892857142857,-1.3857520001385755e-10,0.0,-0.5025892858528608,2.502589285852861,1.497410714147139
36,0.003125,9999999999,0,-0.5579464285714286,-1.421460571570718e-10,-0.0,-0.5079464287135746,2.5079464287135744,1.4920535712864254
37,0.003125,9999999999,0,-0.5436607142857143,-1.4562548572884832e-10,0.0,-0.4936607144313398,2.4936607144313396,1.5063392855686601
