step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0062,9999999999,0.05,-0.19822285714285706,-1.268626285841148e-12,-0.1548616071428571,-0.3030844642869828,2.3030844642869828,1.6969155357130172
1,0.0062,9999999999,0.05,-0.19468000000000002,-2.5145782859657433e-12,0.002767857142857064,-0.14191214285965753,2.1419121428596575,1.8580878571403425
2,0.0062,9999999999,0.05,-0.17608000000000004,-3.641490286078435e-12,0.014531249999999999,-0.11154875000364155,2.1115487500036414,1.8884512499963584
3,0.0062,9999999999,0.05,-0.19379428571428559,-4.881773714773891e-12,-0.013839285714285596,-0.15763357143345297,2.157633571433453,1.842366428566547
4,0.0062,9999999999,0.05,-0.19645142857142855,-6.139062857756762e-12,-0.002075892857142936,-0.14852732143471054,2.1485273214347105,1.8514726785652895
5,0.0062,9999999999,0.05,-0.20088000000000003,-7.424694857885326e-12,-0.003459821428571468,-0.15433982143599617,2.1543398214359963,1.8456601785640039
6,0.0062,9999999999,0.05,-0.2035371428571428,-8.727332572301305e-12,-0.002075892857142798,-0.15561303572301294,2.1556130357230128,1.844386964276987
7,0.0062,9999999999,0.05,-0.19910857142857133,-1.0001627429571589e-11,0.003459821428571468,-0.1456487500100015,2.1456487500100017,1.8543512499899986
8,0.0062,9999999999,0.05,-0.19910857142857133,-1.1275922286841875e-11,0.0,-0.14910857143984724,2.1491085714398475,1.8508914285601528
9,0.0062,9999999999,0.05,-0.20530857142857134,-1.2589897144116131e-11,-0.00484375,-0.16015232144116126,2.1601523214411613,1.8398476785588387
10,0.0062,9999999999,0.05,-0.21062285714285706,-1.3937883429965213e-11,-0.004151785714285734,-0.16477464287108068,2.164774642871081,1.8352253571289192
11,0.0062,9999999999,0.05,-0.21328000000000003,-1.5302875430101714e-11,-0.002075892857142936,-0.16535589287244584,2.1653558928724457,1.834644107127554
12,0.0062,9999999999,0.05,-0.2017657142857143,-1.6594176001659413e-11,0.008995535714285734,-0.1427701785880227,2.1427701785880227,1.8572298214119773
13,0.0062,9999999999,0.05,-0.20442285714285707,-1.7902482287504528e-11,-0.002075892857142798,-0.15649875001790237,2.1564987500179025,1.8435012499820975
