step,tof,accX,accY,accZ,acc,incl,orient,roll,pitch,gyroX,gyroY,gyroZ,mic0,mic1,mic2,mic3,
0,32,-221,-91,736,773.8333129882812,17.988100051879883,67.61654663085938,-16.594191832615223,-6.753403303559407,-53,-161,129,2,2,2,2,
1,31,-217,-90,744,780.2083129882812,17.521747589111328,67.47061920166016,-16.14867968422609,-6.624032634517511,-23,-144,141,6,7,6,6,
2,31,-220,-89,735,772.3638916015625,17.892356872558594,67.97112274169922,-16.54927445834929,-6.616929158954092,-22,-105,134,6,5,6,6,
3,31,-222,-90,732,770.199951171875,18.118743896484375,67.92879486083984,-16.75242709256021,-6.710501516601026,-22,-112,144,4,4,5,5,
4,31,-221,-91,738,775.7357788085938,17.94247817993164,67.61654663085938,-16.552322300720185,-6.736763978103628,-20,-151,121,3,4,4,4,
5,31,-221,-90,737,774.6676635742188,17.9385986328125,67.83858489990234,-16.575802859534672,-6.671624040165911,-55,-148,141,4,2,3,2,
6,33,-231,-144,737,785.6627807617188,20.26943016052246,58.05796432495117,-17.098738112540698,-10.561145560969234,70,2208,473,11,7,7,7,
7,33,-36,-993,1119,1496.4979248046875,41.603084564208984,2.0710270404815674,-1.3784496724789301,-41.57112040934633,-2189,-1076,1510,24,18,8,8,
8,33,-156,-74,704,724.8641357421875,13.777990341186523,64.61885833740234,-12.428009032327122,-5.859425183629984,-146,885,-1288,69,58,44,33,
9,33,-192,-77,735,763.55615234375,15.716987609863281,68.14385986328125,-14.563627319909292,-5.787769527721524,49,19,677,19,16,12,15,
10,33,-232,-80,703,744.6026000976562,19.241168975830078,70.97117614746094,-18.15420953231796,-6.167755885101858,81,-22,136,8,10,10,8,
11,31,-219,-94,750,786.9542846679688,17.626123428344727,66.7665023803711,-16.158059363843353,-6.8602379670372216,-32,-334,-522,10,9,7,10,
12,31,-227,-52,725,761.4840698242188,17.805583953857422,77.09455871582031,-17.343646252445815,-3.9156445630363788,93,-69,-758,11,6,11,10,
13,31,-230,-110,768,809.2119750976562,18.36237144470215,64.4366226196289,-16.512656448483266,-7.812673571084815,-31,-41,171,10,5,9,10,
14,31,-209,-136,712,754.4010620117188,19.298940658569336,56.943599700927734,-16.08367894479947,-10.385804747810859,21,-179,1048,11,8,8,10,
15,31,-207,-110,727,763.8572998046875,17.8691349029541,62.01029968261719,-15.723365782169637,-8.279720310072353,-6,-325,16,9,8,8,9,
16,32,-195,-94,703,735.5745849609375,17.11296272277832,64.26013946533203,-15.372828019007807,-7.341975813967318,-59,-338,-43,7,6,9,7,
17,32,-196,-90,779,808.3049926757812,15.473196983337402,65.33279418945312,-14.033119033852957,-6.392803223075176,-322,-39,783,11,8,8,9,
18,32,-220,-119,762,802.0006103515625,18.169992446899414,61.58714294433594,-15.921137295541293,-8.532995260690667,-284,73,211,6,12,8,8,
19,32,-202,-125,749,785.7671508789062,17.594463348388672,58.246700286865234,-14.896491433411157,-9.153512230363024,-1,-31,-199,6,5,8,8,
