step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0062,9999999999,0.0525,-1.1691428571428573,-7.482514286462537e-12,-0.9590624999999999,-2.07820535715034,2.07820535715034,-2.07820535715034
1,0.0062,9999999999,0.0525,-1.1585142857142856,-1.4897005715775415e-11,0.00871875000000004,-1.0997955357291824,3.099795535729182,0.9002044642708176
2,0.0062,9999999999,0.0525,-1.1638285714285714,-2.2345508573663123e-11,-0.00435937500000002,-1.1181879464509168,3.1181879464509166,0.8818120535490832
3,0.0062,9999999999,0.0525,-1.1656,-2.980534857440911e-11,-0.0014531249999999586,-1.1170531250298052,3.1170531250298055,0.8829468749701948
4,0.0062,9999999999,0.0525,-1.1656,-3.7265188575155087e-11,0.0,-1.115600000037265,3.115600000037265,0.884399999962735
5,0.0062,9999999999,0.0525,-1.1691428571428573,-4.4747702861617627e-11,-0.002906250000000062,-1.122049107187605,3.122049107187605,0.8779508928123949
6,0.0062,9999999999,0.0525,-1.1673714285714285,-5.221888000522188e-11,0.0014531250000001032,-1.1159183036236473,3.1159183036236473,0.8840816963763527
7,0.0062,9999999999,0.0525,-1.1656,-5.967872000596785e-11,0.0014531249999999586,-1.1141468750596786,3.114146875059679,0.8858531249403214
8,0.0062,9999999999,0.0525,-1.1585142857142856,-6.709321143528074e-11,0.005812499999999979,-1.1027017857813788,3.102701785781379,0.8972982142186212
9,0.0062,9999999999,0.0525,-1.1585142857142856,-7.450770286459362e-11,0.0,-1.1085142857887933,3.108514285788793,0.8914857142112067
10,0.0062,9999999999,0.0525,-1.1532,-8.188818286533167e-11,0.00435937500000002,-1.0988406250818883,3.0988406250818885,0.9011593749181117
11,0.0062,9999999999,0.0525,-1.1425714285714286,-8.920064000892005e-11,0.00871875000000004,-1.083852678660629,3.0838526786606293,0.9161473213393709
12,0.0062,9999999999,0.0525,-1.1372571428571427,-9.64790857239336e-11,0.00435937500000002,-1.0828977679536218,3.0828977679536216,0.9171022320463782
13,0.0062,9999999999,0.0525,-1.1284,-1.0370084572465578e-10,0.007265624999999938,-1.071134375103701,3.071134375103701,0.928865624896299
14,0.0062,9999999999,0.0525,-1.1300297142857143,-1.1093303589680757e-10,-0.0013368750000000023,-1.0813665893966473,3.081366589396647,0.9186334106033527
15,0.0062,9999999999,0.0525,-1.1159999999999999,-1.1807543589752183e-10,0.01150875,-1.0544912501180752,3.054491250118075,0.9455087498819248
16,0.0062,9999999999,0.0525,-1.1052297142857141,-1.2514890606965774e-10,0.008834999999999997,-1.0463947144108632,3.046394714410863,0.9536052855891368
17,0.0062,9999999999,0.0525,-1.0804297142857142,-1.3206365624177778e-10,0.02034375,-1.0100859644177778,3.0100859644177778,0.9899140355822222
18,0.0062,9999999999,0.0525,-1.0804297142857142,-1.3897840641389785e-10,0.0,-1.0304297144246926,3.0304297144246926,0.9695702855753074
19,0.0062,9999999999,0.0525,-1.076886857142857,-1.4587048230030135e-10,0.002906250000000062,-1.0239806072887272,3.023980607288727,0.9760193927112728
20,0.0062,9999999999,0.0525,-1.0751154285714286,-1.5275122104384656e-10,0.0014531249999999586,-1.0236623037241797,3.02366230372418,0.9763376962758203
21,0.0062,9999999999,0.0525,-1.0698011428571428,-1.5959794835881694e-10,0.00435937500000002,-1.0154417680167407,3.015441768016741,0.9845582319832593
22,0.0062,9999999999,0.0525,-1.0414582857142858,-1.6626328138805488e-10,0.023249999999999917,-0.968208285880549,2.968208285880549,1.031791714119451
23,0.0062,9999999999,0.0525,-1.0202011428571427,-1.7279256870299352e-10,0.01743750000000008,-0.9527636430299353,2.952763643029935,1.0472363569700647
24,0.0062,9999999999,0.0525,-1.0131154285714286,-1.7927650744649902e-10,0.005812499999999979,-0.9573029287507051,2.957302928750705,1.042697071249295
25,0.0062,9999999999,0.0525,-1.007801142857143,-1.8572643476142972e-10,0.004359374999999876,-0.9534417680428695,2.9534417680428695,1.0465582319571305
26,0.0062,9999999999,0.0525,-0.9989439999999999,-1.9211967636206908e-10,0.007265625000000082,-0.9416783751921195,2.9416783751921196,1.0583216248078804
27,0.0062,9999999999,0.0525,-0.952886857142857,-1.9821815224839322e-10,0.03778125000000008,-0.865105607341075,2.865105607341075,1.134894392658925
28,0.0062,9999999999,0.0525,-0.9599725714285715,-2.0436197670615042e-10,-0.005812500000000124,-0.9157850716329335,2.9157850716329334,1.0842149283670666
29,0.0062,9999999999,0.0525,-0.9192297142857142,-2.1024504687816735e-10,0.03342187500000006,-0.8358078394959592,2.835807839495959,1.1641921605040408
30,0.0062,9999999999,0.0525,-0.9316297142857143,-2.1620747705019216e-10,-0.010171875,-0.8918015895019218,2.891801589501922,1.1081984104980782
31,0.0062,9999999999,0.0525,-0.8979725714285715,-2.219545015079097e-10,0.02760937499999994,-0.8203631966505259,2.820363196650526,1.179636803349474
32,0.0062,9999999999,0.0525,-0.8643154285714285,-2.2748612025131998e-10,0.027609375000000082,-0.7867060537989146,2.7867060537989143,1.2132939462010854
33,0.0062,9999999999,0.0525,-0.8696297142857142,-2.330517504233051e-10,-0.00435937500000002,-0.823989089518766,2.823989089518766,1.176010910481234
34,0.0062,9999999999,0.0525,-0.8554582857142857,-2.3852668345242404e-10,0.011624999999999958,-0.7938332859528123,2.7938332859528123,1.2061667140471877
35,0.0062,9999999999,0.0525,-0.8731725714285715,-2.4411498791012575e-10,-0.014531250000000022,-0.8377038216726864,2.8377038216726866,1.1622961783273136
36,0.0062,9999999999,0.0525,-0.8164868571428571,-2.4934050379636263e-10,0.04650000000000012,-0.7199868573921975,2.7199868573921977,1.2800131426078025
37,0.0062,9999999999,0.0525,-0.7863725714285714,-2.543732882540087e-10,0.024703124999999947,-0.7116694466829447,2.7116694466829445,1.2883305533170553
38,0.0062,9999999999,0.0525,-0.788144,-2.5941740985451316e-10,-0.001453125000000031,-0.7395971252594173,2.7395971252594173,1.2604028747405827
39,0.0062,9999999999,0.0525,-0.7598011428571428,-2.642801371692851e-10,0.02324999999999999,-0.686551143121423,2.686551143121423,1.3134488568785772
40,0.0062,9999999999,0.0525,-0.7562582857142858,-2.6912019019834056e-10,0.0029062499999999896,-0.7033520359834059,2.703352035983406,1.2966479640165942
41,0.0062,9999999999,0.0525,-0.7243725714285714,-2.7375617465594706e-10,0.026156250000000048,-0.6482163217023273,2.6482163217023276,1.3517836782976727
42,0.0062,9999999999,0.0525,-0.6287154285714286,-2.7777995339920653e-10,0.07846874999999993,-0.5002466788492085,2.5002466788492086,1.4997533211507914
43,0.0062,9999999999,0.0525,-0.614544,-2.8171303499959983e-10,0.01162500000000003,-0.5529190002817129,2.552919000281713,1.447080999718287
44,0.0062,9999999999,0.0525,-0.6712297142857143,-2.8600890517145796e-10,-0.04649999999999998,-0.6677297145717231,2.667729714571723,1.3322702854282769
45,0.0062,9999999999,0.0525,-0.6623725714285714,-2.9024808962902477e-10,0.007265625000000011,-0.6051069467188194,2.6051069467188195,1.3948930532811805
46,0.0062,9999999999,0.0525,-0.6180868571428572,-2.9420384551513463e-10,0.036328124999999975,-0.5317587324370611,2.531758732437061,1.4682412675629388
47,0.0062,9999999999,0.0525,-0.5259725714285715,-2.975700699726141e-10,0.0755625,-0.40041007172614157,2.4004100717261414,1.5995899282738584
48,0.0062,9999999999,0.0525,-0.5614011428571429,-3.0116303728725913e-10,-0.029062500000000043,-0.5404636431583059,2.540463643158306,1.4595363568416941
49,0.0062,9999999999,0.0525,-0.5454582857142858,-3.0465397031617964e-10,0.013078124999999989,-0.4823801610189398,2.48238016101894,1.5176198389810602
50,0.0062,9999999999,0.0525,-0.614544,-3.0858705191657294e-10,-0.056671874999999976,-0.6212158753085869,2.621215875308587,1.3787841246914132
51,0.0062,9999999999,0.0525,-0.5100297142857143,-3.1185124208832794e-10,0.08573437500000002,-0.3742953395975655,2.3742953395975657,1.6257046604024346
52,0.0062,9999999999,0.0525,-0.47105828571428576,-3.148660151172009e-10,0.031968749999999956,-0.38908953602915186,2.389089536029152,1.610910463970848
53,0.0062,9999999999,0.0525,-0.478144,-3.1792613671750685e-10,-0.005812499999999979,-0.43395650031792615,2.433956500317926,1.5660434996820738
54,0.0062,9999999999,0.0525,-0.4108297142857143,-3.205554468891983e-10,0.05521875000000001,-0.30561096460626974,2.3056109646062697,1.6943890353937303
55,0.0062,9999999999,0.0525,-0.3364297142857143,-3.2270859706084224e-10,0.061031249999999995,-0.2253984646084229,2.225398464608423,1.7746015353915772
56,0.0062,9999999999,0.0525,-0.378944,-3.251338386610848e-10,-0.034875000000000024,-0.3638190003251339,2.363819000325134,1.636180999674866
57,0.0062,9999999999,0.0525,-0.2177440000000002,-3.265274002612241e-10,0.13223437499999985,-0.035509625326527725,2.0355096253265277,1.9644903746734723
58,0.0062,9999999999,0.0525,-0.28328685714285723,-3.283404361471197e-10,-0.05376562499999991,-0.2870524824711976,2.2870524824711977,1.7129475175288025
59,0.0062,9999999999,0.0525,-0.2903725714285715,-3.3019882060444845e-10,-0.005812499999999979,-0.2461850717587703,2.24618507175877,1.7538149282412296
60,0.0062,9999999999,0.0525,-0.22482971428571447,-3.316377307760209e-10,0.05376562499999991,-0.12106408961735228,2.1210640896173523,1.8789359103826477
