step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.00615,9999999999,0,0.18703028571428582,1.1969938286911284e-12,0.0,0.2370302857154828,1.7629697142845173,2.2370302857154827
1,0.00615,9999999999,0,0.1984517142857144,2.46708480024671e-12,0.0,0.24845171428818147,1.7515482857118185,2.2484517142881817
2,0.00615,9999999999,0,0.21778028571428582,3.860878628957518e-12,0.0,0.2677802857181467,1.7322197142818534,2.2677802857181466
3,0.00615,9999999999,0,0.21690171428571442,5.249049600524908e-12,-0.0,0.2669017142909635,1.7330982857090365,2.2669017142909635
4,0.00615,9999999999,0,0.216023142857143,6.631597714948877e-12,-0.0,0.2660231428637746,1.7339768571362253,2.2660231428637747
5,0.00615,9999999999,0,0.1756088571428572,7.755494400775554e-12,-0.0,0.22560885715061268,1.7743911428493873,2.2256088571506125
6,0.00615,9999999999,0,0.20811600000000002,9.087436800908748e-12,0.0,0.25811600000908747,1.7418839999909126,2.2581160000090876
7,0.00615,9999999999,0,0.2010874285714286,1.0374396343894587e-11,-0.0,0.251087428581803,1.748912571418197,2.251087428581803
8,0.00615,9999999999,0,0.18175885714285722,1.15376530297252e-11,-0.0,0.23175885715439487,1.768241142845605,2.2317588571543947
9,0.00615,9999999999,0,0.14310171428571442,1.2453504001245357e-11,-0.0,0.19310171429816791,1.806898285701832,2.1931017142981677
10,0.00615,9999999999,0,0.136073142857143,1.332437211561816e-11,-0.0,0.1860731428704674,1.8139268571295326,2.1860731428704674
11,0.00615,9999999999,0,0.16506600000000002,1.4380794515723803e-11,0.0,0.2150660000143808,1.7849339999856193,2.2150660000143807
12,0.00615,9999999999,0,0.1264088571428572,1.5189811201518993e-11,-0.0,0.17640885715804705,1.823591142841953,2.176408857158047
13,0.00615,9999999999,0,0.10795885714285722,1.5880747887302373e-11,-0.0,0.15795885715873798,1.842041142841262,2.157958857158738
14,0.00615,9999999999,0,0.09126600000000003,1.6464850287360783e-11,-0.0,0.1412660000164649,1.858733999983535,2.141266000016465
15,0.00615,9999999999,0,0.09478028571428582,1.707144411599287e-11,0.0,0.14478028573135726,1.8552197142686428,2.144780285731357
16,0.00615,9999999999,0,0.05788028571428581,1.7441877944601344e-11,-0.0,0.1078802857317277,1.8921197142682722,2.107880285731728
17,0.00615,9999999999,0,0.06051600000000002,1.7829180344640075e-11,0.0,0.11051600001782921,1.8894839999821709,2.1105160000178294
18,0.00615,9999999999,0,0.052608857142857214,1.816587703038803e-11,-0.0,0.1026088571610231,1.897391142838977,2.102608857161023
19,0.00615,9999999999,0,0.024494571428571598,1.8322642287546565e-11,-0.0,0.07449457144689424,1.9255054285531057,2.0744945714468943
20,0.00615,9999999999,0,0.03415885714285721,1.8541258973282714e-11,0.0,0.08415885716139848,1.9158411428386015,2.0841588571613983
21,0.00615,9999999999,0,0.0183445714285716,1.865866423043731e-11,-0.0,0.06834457144723027,1.9316554285527698,2.06834457144723
22,0.00615,9999999999,0,0.0069231428571430035,1.8702972344727456e-11,-0.0,0.056923142875845975,1.9430768571241541,2.056923142875846
23,0.00615,9999999999,0,0.009558857142857214,1.876414903044786e-11,0.0,0.05955885716162136,1.9404411428383785,2.0595588571616212
24,0.00615,9999999999,0,-0.030855428571428402,1.856667428757097e-11,-0.0,0.019144571447138277,1.9808554285528617,2.0191445714471383
25,0.00615,9999999999,0,-0.0018625714285713827,1.8554753830426922e-11,0.0,0.04813742858998337,1.9518625714100166,2.048137428589983
26,0.00615,9999999999,0,-0.028219714285714192,1.837414765898029e-11,-0.0,0.021780285732659957,1.9782197142673401,2.02178028573266
27,0.00615,9999999999,0,-0.03524828571428559,1.8148558630386307e-11,-0.0,0.014751714303862969,1.985248285696137,2.014751714303863
28,0.00615,9999999999,0,-0.041398285714285596,1.7883609601788384e-11,-0.0,0.008601714303598018,1.9913982856964019,2.008601714303598
29,0.00615,9999999999,0,-0.0782982857142856,1.7382500573166844e-11,-0.0,-0.028298285696903097,2.028298285696903,1.9717017143030968
30,0.00615,9999999999,0,-0.07566257142857138,1.6898260115975564e-11,0.0,-0.02566257141167312,2.025662571411673,1.9743374285883268
31,0.00615,9999999999,0,-0.03524828571428559,1.6672671087381576e-11,0.0,0.01475171430238708,1.985248285697613,2.014751714302387
32,0.00615,9999999999,0,-0.0862054285714284,1.6120956344469263e-11,-0.0,-0.03620542855530745,2.0362054285553075,1.9637945714446925
33,0.00615,9999999999,0,-0.08708399999999998,1.5563618744413528e-11,-0.0,-0.03708399998443636,2.0370839999844366,1.9629160000155637
34,0.00615,9999999999,0,-0.08181257142857139,1.5040018287218313e-11,0.0,-0.03181257141353136,2.0318125714135316,1.9681874285864687
35,0.00615,9999999999,0,-0.0958697142857142,1.4426452115728388e-11,-0.0,-0.04586971427128775,2.0458697142712876,1.9541302857287122
36,0.00615,9999999999,0,-0.116076857142857,1.3683560229939812e-11,-0.0,-0.06607685712917344,2.0660768571291737,1.9339231428708266
37,0.00615,9999999999,0,-0.10553399999999998,1.300814262987227e-11,0.0,-0.055533999986991836,2.055533999986992,1.944466000013008
38,0.00615,9999999999,0,-0.1582482857142856,1.1995353601199562e-11,-0.0,-0.10824828570229024,2.1082482857022904,1.8917517142977098
39,0.00615,9999999999,0,-0.122226857142857,1.1213101715407053e-11,0.0,-0.0722268571316439,2.072226857131644,1.927773142868356
40,0.00615,9999999999,0,-0.136284,1.034088411531983e-11,-0.0,-0.08628399998965909,2.086283999989659,1.9137160000103408
41,0.00615,9999999999,0,-0.148584,9.389946515224738e-12,-0.0,-0.09858399999061006,2.09858399999061,1.90141600000939
42,0.00615,9999999999,0,-0.14331257142857137,8.472746057990162e-12,0.0,-0.09331257142009862,2.0933125714200984,1.9066874285799014
43,0.00615,9999999999,0,-0.15034114285714278,7.51056274360823e-12,-0.0,-0.1003411428496322,2.1003411428496324,1.8996588571503679
